CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV75971556,959800BB6L124V5LVL53,"ABANCA PREVISIÓN SOCIAL VII, F.P., FONDO DE PENSIONES",,"AV. DE LA MARINA, 1, 15001, CORUÑA (A)",,"F2280"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESV70240858,95980020140005762947,"ABANCA PREVISION SOCIAL VIII, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F1555"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESV70284302,95980020140005762753,"ABANCA PREVISION SOCIAL XI,  FONDO DE PENSIONES, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","AVENIDA DE LA MARINA 1, 15001, A CORUÑA",,"F1661"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESV70284328,95980020140005762462,"ABANCA PREVISION SOCIAL XII, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","AVENIDA DE LA MARINA 1, 15001, A CORUÑA",,"F1662"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESV70361654,959800C9JJGAGQJA9D68,"ABANCA RENTA FIJA CORTO PLAZO, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","AV. DE LA MARINA, 1, 15001, A CORUÑA",,"F1886"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESV15805674,95980020140005764887,"ABANCA RENTA FIJA FLEXIBLE, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F0847"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV15607567,9598008805S1FY8UJT51,"ABANCA RENTA FIJA MIXTA CONSERVADOR, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F0474"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESV15236318,95980020140005762268,"ABANCA RENTA FIJA MIXTA MODERADO, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F0151"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESV15607575,9598000CUCUGHKCVMC45,"ABANCA RENTA VARIABLE MIXTA  DECIDIDO, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F0475"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESV15805666,95980020140005764984,"ABANCA RENTA VARIABLE MIXTA DINAMICO, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F0846"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESV15607542,95980020140005765469,"ABANCA RENTA VARIABLE, FONDO DE PENSIONES","ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","Av. de la Marina, 1, 15001, Coruña (A)",,"F0473"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESV95261624,959800RLUF7YEVXELM21,"ABANTE ASESORES PREVISIÓN, EPSV INDIVIDUAL",,"GRAN VIA, 40-BIS-6º, 48009, BILBAO",,"248-B"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESV84802651,95980020140005625983,"ABANTE BOLSA PENSIONES, FONDO DE PENSIONES","ABANTE PENSIONES E.G.F.P, S. A.","AV BURGOS, 109, 28050, Madrid",,"F1405"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESV86516788,959800BQ09D8BT8LF515,"ABANTE RENTA PENSIONES, FONDO DE PENSIONES","ABANTE PENSIONES E.G.F.P, S. A.","AV BURGOS, 109, 28050, Madrid",,"F1824"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESV84802677,95980020140005631124,"ABANTE VARIABLE PENSIONES, FONDO DE PENSIONES","ABANTE PENSIONES E.G.F.P, S. A.","AV BURGOS, 109, 28050, Madrid",,"F1404"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
