CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SK35903058VUB02,097900BEJX0000002240,"KLASIK, dlhopisový garantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.","VÚB Generali dôchodková správcovská spoločnosť, a.s.","Mlynské nivy 1, 82004, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SK35976853NNT02,3157008KP9HADBLP7T47,"Konzervatívny príspevkový d.d.f. NN TATRY-SYMPATIA, d.d.s., a.s.","NN Tatry - Sympatia, d.d.s., a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SK35904305POS03,315700UGJYIGWOGDPQ40,"KOOPERATIVA, d.s.s., a.s., KOOPERATIVA dlhopisový garantovaný d.f.","KOOPERATIVA, d.s.s., a.s.","Mlynské nivy 16, 82109, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SK35904305POS01,3157002NTA6X8RYIC071,"KOOPERATIVA, d.s.s., a.s., KOOPERATIVA ESG indexový negarantovaný d.f.","KOOPERATIVA, d.s.s., a.s.","Mlynské nivy 16, 82109, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SK35977540AXD01,31570020000000003572,"Príspevkový doplnkový dôchodkový fond UNIQA d.d.s., a.s., príspevkový d.d.f.","UNIQA d.d.s., a.s.","Krasovského 3986/15, 85101, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK35903058VUB03,097900BEJX0000002434,"PROFIT, akciový negarantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.","VÚB Generali dôchodková správcovská spoločnosť, a.s.","Mlynské nivy 1, 82004, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK35901624ALL02,3157001SA24SU22DOG16,"PROGRES indexový negarantovaný dôchodkový fond, Allianz - Slovenská d.s.s., a.s.","Allianz - Slovenská dôchodková správcovská spoločnosť, a.s.","Pribinova 19, 811 0, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SK35976853NNT03,315700TTGZEDOM9LG038,"Rastový príspevkový d.d.f. NN TATRY-SYMPATIA, d.d.s., a.s.","NN Tatry - Sympatia, d.d.s., a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SK35902981NNF03,315700JO5E28SRE00Q01,"Rešpekt - Akciový negarantovaný dôchodkový fond NN dôchodková správcovská spoločnosť, a.s.","NN dôchodková správcovská spoločnosť, a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SK35903058VUB04,097900BEJX0000002337,"SMART, zelený inovatívny negarantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.","VÚB Generali dôchodková správcovská spoločnosť, a.s.","Mlynské nivy 1, 82004, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SK35902612AEG02,315700UD30CZ5UHFFW92,"Solid - Dlhopisový garantovaný dôchodkový fond NN dôchodková správcovská spoločnosť, a.s.","NN dôchodková správcovská spoločnosť, a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SK36718556STB02,315700XSXDI08PVZ1R34,"Stabilita akciový príspevkový d.d.f., STABILITA, d.d.s., a.s.","STABILITA, d.d.s., a.s.","Žriedlová 13, 04001, Košice",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SK36718556STB04,3157007TACOCEVMQK602,"Stabilita indexový príspevkový d.d.f., STABILITA, d.d.s., a.s.","STABILITA, d.d.s., a.s.","Žriedlová 13, 04001, Košice",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SK36718556STB05,3157005C78EFKFCS8X48,"Stabilita konzervatívny príspevkový d.d.f., STABILITA, d.d.s., a.s.","STABILITA, d.d.s., a.s.","Žriedlová 13, 04001, Košice",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SK36718556STB03,315700P34RA0XXMF6004,"Stabilita výplatný d.d.f., STABILITA, d.d.s., a.s.","STABILITA, d.d.s., a.s.","Žriedlová 13, 04001, Košice",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK36718556STB01,315700N2YSI1OVACPN50,"Stabilita vyvážený príspevkový d.d.f., STABILITA, d.d.s., a.s.","STABILITA, d.d.s., a.s.","Žriedlová 13, 04001, Košice",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SK35977540AXD03,097900BHMW0000108583,"Výplatný doplnkový dôchodkový fond UNIQA d.d.s., a.s., výplatný d.d.f.","UNIQA d.d.s., a.s.","Krasovského 3986/15, 85101, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SK35976853NNT01,3157006KZ6P81QSHIZ40,"Vyvážený príspevkový d.d.f. NN TATRY-SYMPATIA, d.d.s., a.s.","NN Tatry - Sympatia, d.d.s., a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
