CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROASIG23,213800INBUKMNZBQTL41,"EUROLIFE ERB ASIGURARI GENERALE S.A.(FOSTA EFG EUROLIFE ASIGURARI GENERALE S.A.)","B-dul Dimitrie Pompeiu nr. 6A, cladirea Olympus, etajul 5, camera 5.051, Sector 2 , 02033, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ROASIG26,549300BLM6IEMSO0RW56,"GARANTA ASIGURARI S.A.","B-dul Ion Mihalache nr. 19-21, Sector 1 , 01117, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ROASIG27,213800J9BYTZ1Z4YK783,"GENERALI ROMANIA ASIGURARE REASIGURARE S.A.","Piata Charles de Gaulle nr. 15, etajele 6, 7 si 8, Sector 1 , 01185, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROASIG28,315700RG0MBYDHERUB21,"GERMAN ROMANIAN ASSURANCE S.A.","str. Emil Garleanu nr. 11, bl. A8, sc. 2, et. 5, ap. 49, Sector 3 , 03114, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ROASIG30,52990096QGC0U1GYKW23,"GRAWE ROMANIA ASIGURARE S.A.","Str. Vulturilor nr. 98A, parter, et. 1, 2, 3 si 4, Sector 3 , 03085, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG31,549300EO4TPESE4LEE73,"GROUPAMA ASIGURARI S.A.","Str. Mihai Eminescu nr. 45, Sector 1 , 01051, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROASIG54,,"HD INSURANCE LIMITED NICOSIA - SUCURSALA BUCURESTI","STRADA TUDOR ARGHEZI NR. 8-10, IMPACT HUB UNIVERSITATE, SPATIUL PESTERA SCARISOARA, ETAJ 1, SECTOR 2, 02094, BUCURESTI",no-vida,CYC289025                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG56,,"INTERAMERICAN HELLENIC INSURANCE COMPANY SA","Bd. Iancu de Hunedoara nr. 54B, aripa fata, etaj 4 Bucuresti, sector 1",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ROASIG32,,"MEDICOVER ASIGURARE AB STOCKHOLM SUCURSALA BUCURESTI","STR. SERGENT GHERCU CONSTANTIN NR. 1A, ET.1, CAM. E01.25, 06020, BUCURESTI",no-vida,SE5164060435                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROASIG47,,"METLIFE EUROPE DESIGNATED ACTIVITY COMPANY","Str. Lascar Catargiu nr.47-53, et.4, Sector 1, 01066, BUCURESTI",compuestos,IEC42062                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
