CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEALEHP,2549001M33HMS0SAK215,"Evangelische Zusatzversorgungskasse (EZVK)",,"Holzhofallee 17a, 64295, Darmstadt",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEA4Y7B,549300B2JNY72KZI5850,"Frankfurter Pensionskasse AG",,"Am Weidenring 56, 61352, Bad Homburg",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEA04O6,5493008TM5IHW8ROU628,"Generali Pensionsfonds AG",,"Franklinstraße 46 - 48, 60486, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA3JWA,529900UQI9DVD9B64S18,"Geno Pensionskasse VVaG, Karlsruhe",,"Lauterbergstraße 1, 76137, Karlsruhe",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEA58P4,5299004RAPPZ1LJ4A552,"Gerling Versorgungskasse",,"Charles-de-Gaulle-Platz 1, 50679, Köln",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DEA4F1P,5299002P4JGDEPSO9Q12,"Glatfelter Gernsbach Pensionskasse VVaG",,"11 55, Hördener Straße 5, 76593, Gernsbach",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEA4QUY,52990043T2RGPDDCVU37,"Gothaer Pensionskasse AG",,"Arnoldiplatz 1, 50969, Köln",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEALCLV,5299004O8KVYD8SW7A96,"Grün + Bilfinger Wohlfahrts-und Pensionskasse a.G., c/o LDIS GmbH",,"10 05, Speditionsstraße 1, 40221, Düsseldorf",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA03XI,529900DH77S9Q44DFW28,"HAMBURGER PENSIONSFONDS Pensionsfondsverein auf Gegenseitigkeit",,"Brooktorkai 20, 20457, Hamburg",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEALCL4,529900OSJG6NCXN4NP03,"HAMBURGER PENSIONSKASSE VON 1905 Versicherungsverein auf Gegenseitigkeit",,"10 50, Brooktorkai 20, 20457, Hamburg",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA3KLI,529900JV9KY91YIRD316,"HAMBURGER PENSIONSRÜCKDECKUNGSKASSE Versicherungsverein auf Gegenseitigkeit",,"10 50, Brooktorkai 20, 20457, Hamburg",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEALCMW,5299000CNU4QHEAU8767,"Hannoversche Alterskasse VVaG",,"Pelikanplatz 23, 30177, Hannover",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA3LQD,529900O5NYSU6RWVGO40,"Hannoversche Pensionskasse VVaG",,"Pelikanplatz 23, 30177, Hannover",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEAMKQ9,5299001WE9V27QQ29582,"Hanseatische Rechtsanwaltsversorgung Bremen (Verwaltung: Rechtsanwaltsversorgung Niedersachsen )",,"Knochenhauerstraße 36/37, 28195, Bremen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEA4S1O,529900GXO87AB0U5EK12,"HDI Pensionsfonds Aktiengesellschaft",,"ProActiv-Platz 1, 40721, Hilden",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEA4K0V,529900SWM4GTF2GY7X13,"HDI Pensionskasse AG",,"Charles-de Gaulle-Platz 1, 50679, Köln",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEALCM3,39120001LSPEXTTZV582,"HEAG Pensionszuschusskasse Versicherungsverein auf Gegenseitigkeit",,"11 07, Luisenplatz 5A, 64283, Darmstadt",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEAMKPV,529900P67B2NWWXIA633,"Hessische Zahnärzte-Versorgung Versorgungswerk der Landeszahnärztekammer Hessen K.d.ö.R.",,"Lyoner Straße 21, 60528, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEALCMV,391200BVDYKXHPOBVW66,"Höchster Pensionskasse VVaG",,"Brüningstraße 50, 65926, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEA4MQM,3912002DQ5RNFU159Z20,"HVB Trust Pensionsfonds AG",,"Arabellastraße 12, 81925, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEA4H1I,391200NYEYCTCIYR2E51,"IBM Deutschland Pensionsfonds AG",,"IBM Campus 1, 71139, Ehningen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA4OJU,391200O0MIF6VIUUSU44,"IBM Deutschland Pensionskasse Versicherungsverein auf Gegenseitigkeit",,"IBM Campus 1, 71139, Ehningen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEAMKQ6,967600MFNLGUB8POZ868,"Ingenieurversorgung Baden-Württemberg",,"Zellerstraße 26, 70180, Stuttgart",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEAMKQI,3912009XCVRTOO3K1L09,"Ivoclar Vivadent Pensionskasse VVaG",,"Dr. Adolf-Schneider-Straße 2, 73479, Ellwangen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEA50Q0,529900FPBRDUXO6X9O30,"Kirchliche Zusatzversorgungskasse des Verbandes der Diözesen Deutschlands",,"Am Römerturm 8, 50667, Köln",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA3GNX,391200437LVXRS0SRH91,"Kirchliche Zusatzversorgungskasse Rheinland-Westfalen",,"Schwanenwall 11, 44135, Dortmund",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEALCMZ,391200IPHDJNVELLAW18,"Kölner Pensionskasse Versicherungsverein auf Gegenseitigkeit i.L.",,"Max-Planck-Straße 39, 50858, Köln",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEALENQ,529900IV33MLN18I3X52,"Kommunales Dienstleistungszentrum Personal und Versorgung (KDZ) - Zusatzversorgungskasse für die Gem",,"Welfenstraße 2, 65189, Wiesbaden",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
DEALFDO,529900LI9YX2VZA02333,"Krefelder Renten Zusatzversorgung VVaG",,"Uerdinger Straße 323, 47800, Krefeld",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEALCN9,5299003VKP3DIRS8BJ35,"Lippische Pensionsfonds AG",,"Simon-August-Straße 2, 32756, Detmold",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEAMKQK,391200M8GBX1ZXBFQB11,"Localbahn-Pensionszuschusskasse VVaG",,"Friedberger Straße 43, 86161, Augsburg",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA3V7S,529900ATYGS5HUI6GM28,"LVM Pensionsfonds-AG",,"Kolde-Ring 21, 48151, Münster",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEALCLC,529900S96BT6NXWMJR78,"MER-Pensionskasse VVaG",,"50 00, Brooktorkai 20, 20457, Hamburg",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEALNST,5299004Q5FBDO7IZV248,"Mercedes-Benz Pensionsfonds AG",,"Mercedesstraße 120, 70372, Stuttgart",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEALCNB,529900KJYFG2CYF9UT73,"Mercer Pensionsfonds AG",,"Platz der Einheit 1, 60327, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
DEA4J9J,391200RERR11E1QHL423,"Metzler Mittelstands Pensionsfonds AG",,"Untermainanlage 1, 60329, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEA0EF1,529900GMW5349WTNE698,"Metzler Pensionsfonds AG",,"Untermainanlage 1, 60329, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEALCLH,529900GFH3GE4MCUGM03,"Müllerei-Pensionskasse Versicherungsverein a.G. (MPK)",,"Siemensring 98, 47877, Willich",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEALCLO,529900WV0J5REZ0YXD53,"Münchener Rück Versorgungskasse",,"40 13, Königinstraße 107, 80802, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEA3KTP,984500VZ02BA6C8A4787,"Nestlé Pensionsfonds AG",,"Basler Straße 46, 60329, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEALCME,9845004D0845FB086475,"NESTLÉ PENSIONSKASSE",,"71 07, Basler Straße 46, 60329, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEA3SW3,,"NESTLÉ RÜCKDECKUNGSKASSE",,"Baseler Straße 46, 60329, Frankfurt am Main",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEA3NRH,529900G0HF0OU8MTHK80,"neue leben Pensionskasse Aktiengesellschaft",,"Hammerbrookstraße 69, 20097, Hamburg",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEAMKPU,52990071X89CT4EEIN77,"Nordrheinische Ärzteversorgung",,"Tersteegenstraße 9, 40474, Düsseldorf",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEAIFPM,529900DBFTZRA7KZ8J55,"Notarversorgungskasse Koblenz",,"Hohenzollernstraße 18, 56068, Koblenz",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
