CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CZ03926206,,"MetLife Europe d.a.c., pobočka pro Českou republiku","Purkyňova 2121/3, 11000, Praha 1",vida,IEC42062                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CZ03926079,,"MetLife Europe Insurance d.a.c., pobočka pro Českou republiku","Purkyňova 2121/3, 11000, Praha 1",no-vida,IEC89732                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CZ40763587,315700OUUEU4SAMPAD98,"NN Životní pojišťovna N.V., pobočka pro Českou republiku","Nádražní 344/25, 15000, Praha 5",vida,NL001032987B011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CZ27609871,,"Österreichische Hagelversicherung - Versicherungsverein auf Gegenseitigkeit, Agra pojišťovna, organizační složka","Starodejvická 1899/4, 16000, Praha 6",no-vida,AT0000002407888                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CZ04257111,315700X5DPSSXJUNP350,"Pillow pojišťovna, a.s.","Tomíčkova 2144/1, 14800, Praha 4",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CZ27116913,3157007VH74OXAS9HL33,"Pojišťovna VZP, a.s.","Lazarská 1718/3, 11000, Praha 1",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CZ19686030,,"PREMIUM Pojišťovna, pobočka Česká republika","Pobřežní 620/3, 18600, Praha 8",no-vida,MTA193906                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CZ07880014,315700OYO08GFLOVO963,"Simplea pojišťovna, a.s.","Türkova 2319/5b, 14900, Praha 4",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CZ60197501,315700HS7WJ1B0SUWM01,"Slavia pojišťovna a.s.","Vyskočilova 1422/1a, 14000, Praha 4",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ09016295,,"STARR EUROPE INSURANCE LIMITED, pobočka pro Českou republiku","Rybná 682/14, 11000, Praha 1",no-vida,MTA180744                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CZ61858714,315700OLABZYLZ1JZU51,"SV pojišťovna, a.s.","Vyskočilova 1481/4, 14000, Praha 4",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CZ24263796,,"Union poisťovňa, a.s., pobočka pro Českou republiku","Španělská 770/2, 12000, Praha 2",no-vida,SK31322051                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CZ49240480,31570053VJ0RMQ3JJK93,"UNIQA pojišťovna, a.s.","Evropská 810/136, 16000, Praha 6",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ28445589,31570010000000066734,"VIG RE zajišťovna, a.s.","Templová 747/5, 11000, Praha 1",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CZ25710966,315700VHTUR5WR3E5092,"Vitalitas pojišťovna, a.s.","Tusarova 1152/36, 17000, Praha 7",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CZ13991418,,"YOUPLUS Životní pojišťovna, pobočka pro Českou republiku","Přízova 526/5, 60200, Brno",vida,LIECBM158659                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
