CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BE0460239462,967600IYRIVS990KWJ16,"Caisse de retraite des députés wallons",,"Square Arthur Masson, 6, 5000, Namur",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BE0443627322,967600PTVJXU4Y7LYH81,"CAISSE DE RETRAITE DES MEMBRES DU PARLEMENT DE LA REGION DE BRUXELLES CAPITALE",,"Lombardstraat, 69, 1000, Brussel",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BE0410589122,,"Caisse de Retraite du Personnel du Soir et de l'Agence Rossel",,"Koningsstraat, 100, 1000, Brussel",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BE0433957412,875500G5XQHVDBHVQM89,"CAISSE NATIONALE DE PENSION COMPLEMENTAIRE POUR EMPLOYES DE NOTAIRES - NATIONALE KAS VOOR AANVULLEND",,"Bergstraat, 30-32, 1000, Brussel",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0435805756,549300Z4ZXHC3MXQNQ19,"Cargill Belgium Pensioenfonds",,"Bedrijvenlaan, 7/9, 2800, Mechelen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BE0414080429,2549003HW2IEDK3ZEH26,"Celest Pension Fund",,"Gulden-Vlieslaan, 64, 1060, Sint-Gillis (bij-Brussel)",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BE0410758970,89450006B5UP7I25BM57,"Chevron Organisme voor de Financiering van Pensioenen",,"Gaston Crommenlaan, 4, 9050, Gent",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BE0567725360,,"CREMS",,"Chemin du Baron Le Roy, 1, 1380, Lasne",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BE0876982740,529900PXXZTBK2D3XX16,"CUNA",,"Terhulpsesteenweg, 166, 1170, Watermael-Boitsfort",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BE0449201258,967600PYI4LW2HT9EP52,"Deloitte Pension Fund",,"Luchthaven Brussel Nationaal, 1 J, 1930, Zaventem",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
