CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IECBI00415478,,"Advance Tyre Company Ireland Defined Contribution Pension Scheme",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
IECBI00415445,,"Advance Tyre Company Pension Plan",,"",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IECBI00408240,,"Advanced Surgical Concepts Limited Retirement Solution Plan",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IECBI00354304,,"Aer Lingus Deferred Defined Contribution Pension Scheme",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
IECBI00354009,,"Aer Lingus Defined Contribution Pension Scheme",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IECBI00410947,,"AER LINGUS SOCIAL & ATHLETIC ASSOCIATION RETIREMENT AND DEATH BENEFIT SCHEME",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IECBI00412280,,"Aer Rianta International Pension and Death Benefit Plan",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
IECBI00412258,,"Aer Rianta Supplemental Superannuation Scheme",,"",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
IECBI00416819,,"Aercap Ireland Ltd Defined Contribution Plan",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IECBI00416816,,"AerCap Ireland Ltd Employee Benefit Plan",,"",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
IECBI00408628,,"Aerial Platform Hire Retirement Solution Plan",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
IECBI00406232,,"Agc Instruments Ltd Pen And Death Benefits Plan",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
IECBI00408751,,"AGFA Graphics NV Retirement Solution Plan",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IECBI00416974,,"Agility Knowledge Management Services Ltd Retirement Benefits Scheme",,"",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
IECBI00358644,635400FSAYIEQWG3PC80,"AIB Group Defined Contribution Scheme",,"AIB, D02 R, Dublin 4",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
