CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CYO3036,,"INTERAMERIKAN ELLINIKI ETAIRIA ASFALISTIKI ANONIMI ETERIA","GRIVA DIGENI 42-44, 1080, Nicosia",,GRI059                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CYC451137,2138004D2YA2PY9CLN46,"INTERNATIONAL TRANSPORT INTERMEDIARIES INSURANCE COMPANY (EUROPE) LIMITED","37 Theklas Lysioti, Gemini house, Office 202, 3030, Limassol",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CYC259650,213800Q6HJ338GRZWK62,"KLPP INSURANCE AND REINSURANCE COMPANY LTD","363 28 OCTOVRIOU  METIS TOWER  3rd FLOOR, 3107, LIMASSOL",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CYC67066,529900LIBEAEDSF05O49,"MEDLIFE INSURANCE LTD","11 Florinis Street, 2nd Floor, 1065, Nicosia",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CYO2955,,"METLIFE EUROPE DAC","38, KENNEDY AVENUE, 1087, NICOSIA",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CYC3282,529900VQA3SYOTJKL584,"MINERVA INSURANCE PUBLIC CO LTD","165, ATHALASSAS AVENUE, 2024, STROVOLOS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CYC45038,529900BLBH5YY0K8NY18,"PROGRESSIVE INSURANCE COMPANY LIMITED","44 KALLIPOLEOSPROODEFT ASFETELTD BLDG 1ST & 2N1071, 1071, LEFKOSIA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CYC51248,213800OEXQ1KPSBJXC52,"ROYAL CROWN INSURANCE CO LTD","20 MNASIADOU, 1065, NICOSIA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CYC401650,213800A3XDB3VJ4GR175,"STEAMSHIP MUTUAL UNDERWRITING ASSOCIATION (EUROPE) LTD","28th October Street, no. 363, Vashiotis Ikos Center, 1st Floor, 3107, Limassol",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CYC410091,2138003JRMGVH8CGUR42,"THE LONDON P&I  INSURANCE COMPANY (EUROPE) LIMITED","Esperidon 5, 4th Floor, 2001, Nicosia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CYC399596,213800USL6J47FESOC07,"THE UNITED KINGDOM FREIGHT DEMURRAGE AND DEFENCE INSURANCE (EUROPE) LIMITED","37 Theklas Lysioti, Gemini House, Office 202, 3030, Limassol",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CYC42182,529900AUAVUBM9027N78,"TRUST INTERNATIONAL INSURANCE CO (CYPRUS) LTD","284 ARCH MAKARIOU III AVENUEFORTUNA COURT BLOCK B, 3105, LEMESOS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CYC2895,5299003U10ZH8HXTB310,"UNIVERSAL LIFE INSURANCE PUBLIC CO. LTD","DIGENI AKRITA 85, 1070, LEFKOSIA",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CYC131789,213800NBEBO3K1S14K46,"YPERA INSURANCE COMPANY LIMITED","2 MEDOUSIS STRYDROGIOS HOUSE6059 LARNAKA, 6059, LARNAKA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
