CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK16858536,,"PENSIONSAFVIKLINGSKASSEN FOR      FUNKTIONÆRER OG FORMÆND VED       CARLSBERG OG TUBORGS BRYGGERIER",,"Vesterfælledvej 100, 1799, København V",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DK71973816,529900UQ7FTDEIVYV892,"Pensionsafviklingskassen for Købstædernes almindelige Brandforsikring",,"Strandgade 27, 1401, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DK17340484,213800DWGI8JUAGVUZ17,"Pensionskassen for Børne- og Ungdomspædagoger",,"837, Østerfælled Torv 3, 2100, København Ø",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DK17615343,54930074QLDV9NKM1254,"Pensionskassen for direktører i nogle med Sparekassen Bikuben fusionerede sparekasser",,"Holmens Kanal  2-12, 1060, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DK71976319,549300L47AYRBU02L844,"Pensionskassen for Direktører i Sparekassen SDS (under afvikling)",,"Gammel Mønt  12, 1117, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK10496837,549300DP2HAMKPKZJ532,"Pensionskassen for Farmakonomer",,"Grønningen 15, 1270, København K",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DK72338413,549300M02B6UIXYDKE64,"PENSIONSKASSEN FOR FUNKTIONÆRER ANSAT I ROSKILDE SPAREKASSE (AFVIKLINGSKASSE)",,"Stændertorvet  5, 4000, Roskilde",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DK21418714,,"Pensionskassen for Højskoler MV",,"Landgreven 4, st., 1301, København K",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DK30186028,549300FDFHD65JOGMB15,"Pensionskassen for Jordbrugsakademikere og Dyrlæger",,"Smakkedalen 8, 2820, Gentofte",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DK71974316,549300J2TD415F40OE63,"PENSIONSKASSEN FOR SOCIALRÅDGIVERE , SOCIALPÆDAGOGER OG KONTORPERSONALE",,"Tuborg Boulevard 3, 2900, Hellerup",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
DK68108519,,"Pensionskassen for Sparekassen Kolding u/afvikling",,"Riberdyb 26, 6000, Kolding",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DK71973514,549300HFZI1QWYS89L51,"Pensionskassen for Sundhedsfaglige",,"Tuborg Boulevard 3, 2900, Hellerup",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DK71971511,5493001PSM1VX4QU7S43,"Pensionskassen for Sygeplejersker og Lægesekretærer",,"Tuborg Boulevard 3, 2900, Hellerup",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DK12173210,549300JCEKN58EBLAG94,"Pensionskassen for teknikum- og diplomingeniører",,"Østbanegade 135, 2100, København Ø",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK71973417,549300KDT7DEP79W4F16,"Pensionskassen under Alm. Brand A/S (Pensionsafviklingskasse)",,"Midtermolen  7, 2100, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DK76821216,,"SAS PILOT & NAVIGATØR PENSIONS- FOND SUPPLERINGSFONDEN",,"Vester Voldgade 106, 4., 1552, København V",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DK19615383,549300T22C66G74OXF93,"SAS Pilot & Navigatør Pensionskasse",,"Bjerregårdsvej  6, st, 2500, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DK71967611,CP88MHYI8OS3NLQSLS47,"TDC Pensionskasse",,"Teglholmsgade  1, 2450, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DK24256251,549300HBVZTPN22S3W77,"XEROX PENSIONSKASSE UNDER AFVIKLING",,"Gammel Mønt  12, 5, 1117, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
