CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2498,2594007NYFOYD3WFPA90,"BNP Paribas PPK 2060","BNP Paribas Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Grzybowska 78, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLF2576,259400V30NZFBLBCY678,"BNP Paribas PPK 2065","BNP Paribas Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Grzybowska 78, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLF2775,259400PGUYH6FPDVL103,"BNP Paribas PPK 2070","BNP Paribas Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Grzybowska 78, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLFE000015,259400YY4HSG1KUYND15,"Dobrowolny Fundusz Emerytalny Pocztylion Plus","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLFE000017,259400JF47QE9FJFGD88,"Dobrowolny Fundusz Emerytalny PZU","Powszechne Towarzystwo Emerytalne PZU SA","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLF2410,259400UDCPRT3IE21Z79,"Erste PPK 2025","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2411,259400CYADRNVCB1GG48,"Erste PPK 2030","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2412,259400R9N9IB5U0TZS21,"Erste PPK 2035","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2413,259400BPZL6X12RRN885,"Erste PPK 2040","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2414,259400DGTSOPHZ9VK707,"Erste PPK 2045","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2415,259400J7YT14PC0Z6Q40,"Erste PPK 2050","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2416,259400M0WQOAW6WH5K29,"Erste PPK 2055","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2417,259400OQZ7QIVUQIKW65,"Erste PPK 2060","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2595,259400TDWB7GSOWV9225,"Erste PPK 2065","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2770,259400UB2VQL5J4J7T68,"Erste PPK 2070","ERSTE Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Wierzbięcice 1a, 61-56, Poznań",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2392,259400OFS80UT48FYE92,"Esaliens 2025","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2393,259400BJHPK9P6M88A93,"Esaliens 2030","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2394,259400X37EAB2T53HR16,"Esaliens 2035","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2395,259400L1NVPCJ1O42B07,"Esaliens 2040","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2396,259400F4B26QU5LMEZ82,"Esaliens 2045","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2397,259400UXL27VJOERE821,"Esaliens 2050","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2398,259400LCU5VAG8E05603,"Esaliens 2055","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2399,259400VQKAC14TME5R69,"Esaliens 2060","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2592,259400V1739UBO9CM658,"Esaliens 2065","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2772,259400N61IC0VA4OWK28,"Esaliens 2070","Esaliens Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Warecka 11a, 00-03, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLFE000011,2594002LZXU6D39K5L69,"Generali Dobrowolny Fundusz Emerytalny","Generali Powszechne Towarzystwo Emerytalne S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLF2401,259400LOCAZ6EWX1KD72,"Generali Horyzont 2025","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2402,259400E2GGQZ946XPK83,"Generali Horyzont 2030","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2403,259400IOJKESUR8QC116,"Generali Horyzont 2035","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2404,2594001XEZ3HY3V5OM09,"Generali Horyzont 2040","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2405,259400USR8I1WS8MW648,"Generali Horyzont 2045","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2406,2594009T2OO9WV1CKA96,"Generali Horyzont 2050","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2407,259400RRNPXRSQDO3I94,"Generali Horyzont 2055","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2408,259400QAGP5H7W6J8008,"Generali Horyzont 2060","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2590,2594002DB80093WRIM94,"Generali Horyzont 2065","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2765,2594007Q6VFCLLX9C389,"Generali Horyzont 2070","Generali Investments Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLFE000004,259400FE8XJX6HGT6D46,"Generali OFE","Generali Powszechne Towarzystwo Emerytalne S.A.","ul. Senatorska 18, 00-08, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLF2465,259400WFCQ85NGGVFE62,"ING Subfundusz Emerytura 2025","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2464,259400YT9SQ8HAFCPK79,"ING Subfundusz Emerytura 2030","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2463,259400SMWRV2AJP83G75,"ING Subfundusz Emerytura 2035","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2462,259400QJ3U8X8UVFE815,"ING Subfundusz Emerytura 2040","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2461,259400O9QOLZ3AUK4K48,"ING Subfundusz Emerytura 2045","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2460,2594001BGSHBRTEIOM50,"ING Subfundusz Emerytura 2050","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2459,259400Y95L057Q08L397,"ING Subfundusz Emerytura 2055","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2458,2594007UOV6VADYG8W22,"ING Subfundusz Emerytura 2060","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2582,2594005QQQSOMKWD4R50,"ING Subfundusz Emerytura 2065","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2776,259400OSVCBQVNDKI592,"ING Subfundusz Emerytura 2070","ING Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Puławska 2, 02-56, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2449,259400RMD05JI4RHDC10,"Investor PPK 2025","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2450,259400EF7WQEW6QJNZ21,"Investor PPK 2030","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2451,259400OZUIQY4YJ61683,"Investor PPK 2035","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
