CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLFE000009,2594009UWJPHTT9GTV46,"OFE PZU 'Złota Jesień'","Powszechne Towarzystwo Emerytalne PZU SA","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PLF2517,2594009E6LPO3SYIPQ63,"Pekao PPK 2020 Spokojne Jutro","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLF2467,259400UA6WQMA84G7M72,"Pekao PPK 2025","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2468,259400IYV5AS5LAA8F69,"Pekao PPK 2030","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2469,259400LV4ECAGCQOVP14,"Pekao PPK 2035","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2470,2594002DIBXQNGX3UU02,"Pekao PPK 2040","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2471,259400JCSU8O0AFMZY76,"Pekao PPK 2045","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2472,259400G8P7GOCF7VQ159,"Pekao PPK 2050","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2473,259400H1NLIEM3435G43,"Pekao PPK 2055","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2474,259400MFB3ANCDBM8880,"Pekao PPK 2060","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2475,259400UIBZGX5DR8MD84,"Pekao PPK 2065","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2778,259400KVEEMNQL8PFC25,"Pekao PPK 2070","Pekao Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Żubra 1, 01-06, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2420,259400LHMYHXTFQLNO73,"PFR PPK 2025","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2421,2594005PQRJZWVM44228,"PFR PPK 2030","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2422,25940050UPLJ045P0504,"PFR PPK 2035","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2423,259400C159QZQ972L430,"PFR PPK 2040","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2424,2594008YC0CYALSYYB05,"PFR PPK 2045","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2425,259400XVK5DNJG9RAY65,"PFR PPK 2050","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2426,259400IJ1UOI9T5RC967,"PFR PPK 2055","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2427,2594004TAUFBB2UI8525,"PFR PPK 2060","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2588,259400JHSH2APNP76K75,"PFR PPK 2065","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLF2766,259400W6O966JZ3QUC45,"PFR PPK 2070","PFR Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Krucza 50, 00-02, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLFE000007,259400I5CZKJVEBCFX90,"PKO BP Bankowy OFE","PKO BP BANKOWY Powszechne Towarzystwo Emerytalne S.A.","ul. Chłodna 52, 00-87, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLFE000014,2594001G440WXOVC0W40,"PKO Dobrowolny Fundusz Emerytalny","PKO BP BANKOWY Powszechne Towarzystwo Emerytalne S.A.","ul. Chłodna 52, 00-87, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2374,259400MZWPP0DEG34W73,"PKO EMERYTURA 2025","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2375,259400MOM0L0HHW3LC37,"PKO EMERYTURA 2030","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2376,259400DR5E105EJ8A897,"PKO EMERYTURA 2035","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2377,2594007NR40EVNRTO503,"PKO EMERYTURA 2040","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2378,2594009GLNN8X9WD0U33,"PKO EMERYTURA 2045","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2379,2594009THCJUOWI1QK54,"PKO EMERYTURA 2050","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2380,259400Y6TTK8AIHONL08,"PKO EMERYTURA 2055","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2381,25940085WOJG580XE547,"PKO EMERYTURA 2060","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2591,25940087UC2SQIKEBI35,"PKO EMERYTURA 2065","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2768,259400896YFTHXY0J095,"PKO EMERYTURA 2070","PKO Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Świętokrzyska 36, 00-11, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLF2383,2594009LOBXMY1YHV314,"PPK inPZU 2025","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2384,259400QEAN78TROHD968,"PPK inPZU 2030","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2385,2594004GZA01BYI0EF56,"PPK inPZU 2035","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2386,259400THKTFZLG4MUX03,"PPK inPZU 2040","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2387,2594005723MF2WTPDU40,"PPK inPZU 2045","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2388,259400NJ9T3HJF976M37,"PPK inPZU 2050","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2389,259400CYIRHHC6UGWT81,"PPK inPZU 2055","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2390,259400SEI81SMPNM2W65,"PPK inPZU 2060","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2587,259400SHL2LKL21KA347,"PPK inPZU 2065","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLF2767,25940067KF1GZJTOVW89,"PPK inPZU 2070","Towarzystwo Funduszy Inwestycyjnych PZU S.A.","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLFE000036,259400CO4L9AQKQ2J689,"PPK Pocztylion 2025 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000037,25940020TSRA2I16QE54,"PPK Pocztylion 2030 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000038,259400RJFT22IKJQ1S14,"PPK Pocztylion 2035 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000039,2594009I37MZ0OZIZ202,"PPK Pocztylion 2040 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000040,259400VU4P4ZHCTBXC70,"PPK Pocztylion 2045 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000041,259400IRDV4PFBHNOQ74,"PPK Pocztylion 2050 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000042,259400PJ5GS1BGWYPC92,"PPK Pocztylion 2055 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000043,259400PX0L9ZMVU4KX85,"PPK Pocztylion 2060 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000143,25940071ENM3EQJKTW20,"PPK Pocztylion 2065 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000145,259400KCYZWHHM1JJQ61,"PPK Pocztylion 2070 DFE","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000018,25940062BDIAJIUJ2Q37,"Pracowniczy Fundusz Emerytalny 'Nowy Świat'","Pracownicze Towarzystwo Emerytalne 'Nowy Świat' S.A.","ul. Mysia 2, 00-49, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLFE000019,259400KWHYL3VXITZW84,"Pracowniczy Fundusz Emerytalny ORANGE Polska","Pracownicze Towarzystwo Emerytalne ORANGE Polska S.A.","ul. Piękna 17, 00-54, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PLF2348,259400VT1G3P29Z9V142,"Subfundusz Emerytura 2025","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2349,259400BOG8U3EOAHFZ81,"Subfundusz Emerytura 2030","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2350,259400Q3OAN2D6RU0L30,"Subfundusz Emerytura 2035","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2351,259400ZO3WYMATMIQR27,"Subfundusz Emerytura 2040","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2352,2594007X31D4CUQUJ305,"Subfundusz Emerytura 2045","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2353,259400P7Y48HSH08V539,"Subfundusz Emerytura 2050","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2361,259400P6QBZ0C8KKKG35,"Subfundusz Emerytura 2055","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2362,259400ZYD3308DZ33Y72,"Subfundusz Emerytura 2060","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2583,259400084WNRVUDDSZ96,"Subfundusz Emerytura 2065","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2771,259400DNAWCCGCHU8Y60,"Subfundusz Emerytura 2070","MILLENNIUM Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Stanisława Żaryna 2A, 02-59, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLF2364,2594009Y45GF0SZ1SA79,"UNIQA Emerytura 2025","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2365,25940048MDISC6UYD797,"UNIQA Emerytura 2030","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2366,259400A32NUCSMBZCV93,"UNIQA Emerytura 2035","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2367,2594000S949O55W7QS67,"UNIQA Emerytura 2040","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2368,259400SKCA350TI7RO27,"UNIQA Emerytura 2045","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2369,259400LFHT4MJMWE1N34,"UNIQA Emerytura 2050","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2370,259400Y6NIVFE0D6DH95,"UNIQA Emerytura 2055","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2371,259400FFIO5XVL0CBQ43,"UNIQA Emerytura 2060","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2372,259400LY6OTYDWMBP560,"UNIQA Emerytura 2065","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLF2773,259400A5C0K3NVAK7J16,"UNIQA Emerytura 2070","Uniqa Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLFE000001,259400BE1IXBOOSP3E87,"UNIQA OFE","UNIQA Powszechne Towarzystwo Emerytalne S.A","ul. Chłodna 51, 00-86, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLFE000002,259400G5H3A3PCG4E151,"Vienna OFE","Vienna Powszechne Towarzystwo Emerytalne S.A. Vienna Insurance Group","Al. Jerozolimskie 162A, 02-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
