CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG181078958,,"Fund for deferred payment DallBogg Life and Health",,"1, G.M. Dimitrov Blvd., 1172, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BG177521928,894500G98NADNV87ZN26,"Fund For Deferred Payments Doverie","Doverie Pension Insurance Company","13B, IZTOK TINTYaVA Str., ent. A, floor 7, 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG177528577,485100K82AGA61589U35,"Fund for Deferred Payments UBB","Pension Insurance Company UBB","89B, Vitosha Blvd., floor 16, 1463, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG177525862,894500JXYQM5XTO60J76,"Fund For Long-Life Payments Doverie","Doverie Pension Insurance Company","13B, IZTOK TINTYaVA Str., ent. A, floor 7, 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG177538824,747800J04BUNG94DEA97,"Fund for payment of lifelong pensions- Future","Future Pension Insurance Company","3, Hristo Belchev Str., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG177535842,485100WCTUTQWO1VJU49,"Fund for payment of lifetime annuities Saglasie","Saglasie Pension Insurance Company","117, TODOR ALEKSANDROV Blvd., 1303, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG177529632,4851009Q3N2A09AH4U60,"Fund for Payment of Lifetime Annuities UBB","Pension Insurance Company UBB","89B, Vitosha Blvd., floor 16, 1463, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG177530343,2549009CPXF2Q3YCZ879,"Fund for term payments DSK-Rodina","DSK Rodina Pension Insurance Company","5, Georgi Benkovski Str., floor 2, 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG131170350,747800D0901H3ZGFQC36,"Future Professional Pension Fund","Future Pension Insurance Company","HRISTO BELChEV 31-vi nadparteren etazh Blvd., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG131163861,747800C0I808ZQ3J0665,"Future Universal Pension Fund","Future Pension Insurance Company","HRISTO BELChEV 3 1-vi nadparteren etazh Str., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BG131170368,747800S0P8F82Q6J8545,"Future Voluntary Pension Fund","Future Pension Insurance Company","HRISTO BELChEV 31 NADPARTEREN ETAZh Str., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BG177530432,254900VKCMUKEU43KP82,"Lifelong pension fund DSK-Rodina","DSK Rodina Pension Insurance Company","5, Georgi Benkovski Str., floor 2, 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BG177523982,894500KYAW7CLFJOFN10,"LIFELONG PENSION PAYMENTS FUND CCB - SILA","CCB-Sila Pension Insurance Company","87, Tsarigradsko shose Blvd., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG180742908,,"Lifetime pension fund Pension Assurance Institute",,"136V, Tsar Boris III Str., 1618, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BG175554114,8945009GW61ZE23U5T53,"Pension Insurance Institute Professional Fund","Pension Assurance Institute","136V, TsAR BORIS III Blvd., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BG175554107,8945009GL2YG43G2UP27,"Pension Insurance Institute Universal Fund","Pension Assurance Institute","136V, TsAR BORIS III Blvd., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG175554057,8945009H1PLR11FPTD62,"Pension Insurance Institute Voluntary Fund","Pension Assurance Institute","136V, TsAR BORIS III Blvd., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG177539869,984500D97F4DAEE06C59,"Professional Pension Fund Dallbogg: Zhivot i Zdrave","Pension Insurance Company DallBogg: Life and Health","1, Dianabad G.M. Dimitrov Blvd., 1172, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BG130432636,54930060JV5YBV0Z8N80,"Professional Pension Fund UBB","Pension Insurance Company UBB","89B, VITOShA Blvd., floor 16, 1463, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG177530083,485100FO32J4IMN1XT56,"Saglasie Deferred Payments Fund","Saglasie Pension Insurance Company","117, T. ALEKSANDROV Blvd., 1303, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BG130428157,485100U62DRQLW8LNT14,"Saglasie Professional Pension Fund","Saglasie Pension Insurance Company","117, Todor Aleksandrov Blvd., 1303, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BG130477706,485100610ULYIF5FT014,"Saglasie Universal Pension Fund","Saglasie Pension Insurance Company","117, Todor Aleksandrov Blvd., 1303, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG130400072,485100AAO2GI5SJ3V514,"Saglasie Voluntary Pension Fund","Saglasie Pension Insurance Company","117, Todor Aleksandrov Blvd., 1303, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG180702909,485100AD999IO03NI212,"Toplina Lifetime Pension Payment Fund",,"Vrabnitsa District, Orion Industrial Zone, Str. 3020 No. 34, Floor 8, 1360, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG175218829,5493007FZS8RF0CG4H80,"Toplina Professional Pension Fund","Toplina Pension Insurance Company","34, Industrialna zona Orion 3020 Str., floor 8, 1360, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BG175218850,549300VTWJI8MLL2XQ73,"Toplina Universal Pension Fund","Toplina Pension Insurance Company","34, Industrialna zona Orion 3020 Str., floor 8, 1360, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG175218786,5493007LYXQ73HG48C72,"Toplina Voluntary Pension Fund","Toplina Pension Insurance Company","34, 3020 Str., Industrial zone Orion District, 1360, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG177538532,984500745CE9HA3E0V17,"Universal Pension Fund Dallbogg: Zhivot i Zdrave","Pension Insurance Company DallBogg: Life and Health","1, DIANABAD G. M. Dimitrov Blvd., 1172, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG130478014,549300TWDEJO0DDV8L42,"Universal Pension Fund UBB","Pension Insurance Company UBB","89B, VITOShA Blvd., floor 16, 1463, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG177540896,98450062E8XD3FS79953,"Voluntary Pension Fund Dallbogg: Zhivot i Zdrave","Pension Insurance Company DallBogg: Life and Health","1, G. M. Dimitrov Str., 1172, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BG130437051,549300ST35C3L3ZDKY41,"Voluntary Pension Fund UBB","Pension Insurance Company UBB","89B, VITOShA Blvd., floor 16, 1463, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
