CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IEC757,635400YD7OOB4VLZJC20,"Aviva Life & Pensions Ireland DAC","Aviva Life & Pensions Ireland DAC, Building 12, Cherrywood Business Park, D18 W, Dublin",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
IEC135798,,"AWP Health & Life","15 Joyce Way Park West Business Campus Nangor Road, D12 A, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IEC135801,,"AWP Health & Life","15 Joyce Way Park West Business Campus Nangor Road, D12 A, Dublin",vida,FR401154679                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
IEC185503,,"AXA France IARD (Irish Branch)","Building 7000, Westpark, Shannon, V14 Y, Clare",no-vida,FR722057460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
IEC185500,,"AXA France VIE (Irish Branch)","Building 7000, Westpark, Shannon, V14 Y, Clare",no-vida,FR310499959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
IEC185501,,"AXA France VIE (Irish Branch)","Building 7000, Westpark, Shannon, V14 Y, Clare",vida,FR310499959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IEC713,RUG8Z5EEMCG1EUDUY939,"AXA Insurance DAC","Wolfe Tone House 43/45 Wolfe Tone Street, D01 H, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IEC40479,549300VZSVY64J454B32,"AXA Life Europe Designated Activity Company","Wolfe Tone House Wolfe Tone Street, D01HP, Dublin",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IEC33602,635400QNGHTDSGTJTA68,"AXA MPS Financial Designated Activity Company","Georges Quay Plaza 1 Georges Quay, D02 X, Dublin",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
IEC37900,1CXZKMDN40884RF3K208,"AXIS Re SE","The Malt House, 7th Floor, Grand Canal Quay, D02 R, Dublin 2",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IEC33643,5XGKDHLH62U8HHSAE460,"AXIS Specialty Europe SE","The Malt House, 7th Floor, Grand Canal Quay, D02 R, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IEC33676,635400CDH4BEZWGN6W58,"Azimut Life dac","1st Floor, Block C, One Park Place, Hatch Street Upper, D02 E, Dublin",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
IEC33608,635400XMIMUCWVKSX570,"BBPM Life dac","Beaux Lane House Mercer Street Lower, D02 D, Dublin",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IEC53853,549300WWULDAFCPEU084,"Beazley Insurance dac","2 Northwood Avenue, Santry, D09 X, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IEC37907,635400GYRTNZOPNFF732,"Becare dac","C/O MARSH MANAGEMENT SERVICES (DUBLIN) LIMITED, The Frame, 74 Baggot Street Lower,, D02 X, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IEC40457,635400NLSSWCLVQFUT98,"Berkeley Re dac","15 George's Quay, D02 V, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
IEC182407,635400OT4VIDMAADLQ13,"Berkshire Hathaway European Insurance DAC","2nd Floor, 7 Grand Canal Street Lower, D02 K, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IEC40458,635400UG11AGIQ8RPB24,"Bilspedition Transport Operations Reinsurance Designated Activity Company","C/O MARSH MANAGEMENT SERVICES (DUBLIN) LIMITED, The Frame, 74 Baggot Street Lower,, D02 X, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IECBI00522758,6354003COSTXLGUFED82,"Blue Sky Re Designated Activity Company","C/O MARSH MANAGEMENT SERVICES (DUBLIN) LIMITED, The Frame, 74 Baggot Street Lower,, D02 X, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IEC37910,549300RUVJ1HYI98NN30,"BNP Paribas Vartry Reinsurance dac","Marsh Management Services (Dublin) Limited, The Frame, 74 Baggot Street Lower, Dublin 2, D02 N, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
IEC33637,635400ZAF97CXELCYI79,"Bridgehaven Europe Specialty Dac","Merrion Hall Strand Road Sandymount, D04 P, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IEC131920,635400HG3MEL73IQLS15,"Brown Reinsurance dac","C/O MARSH MANAGEMENT SERVICES (DUBLIN) LIMITED, The Frame, 74 Baggot Street Lower,, D02 X, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
