CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LVB001130,2549000JF7DWNC2GV118,"Luminor Nākotne Indekss pensiju plāns 16-50",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LVB001077,254900O3UUVF4PS7QK11,"Luminor Nākotne Indekss+ pensiju plāns 16-50",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LVB001056,254900KLECF9U23AYR88,"Luminor Nākotne pensiju plāns 50-55",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001055,2549009Z8DHE4OR1KN48,"Luminor Nākotne pensiju plāns 55+",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LVB001096,254900XHHRFKOQMRM454,"Luminor plāns 16-48",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001006,254900H847L5IKAL8R95,"Luminor plāns 48-53",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001023,2549008NSKI75CX63K62,"Luminor plāns 53-58",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001035,254900RU5F04NYBERF34,"Luminor plāns 58+",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LVB001034,254900B61OHHCMO73938,"Luminor plāns 62-65",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001048,5493006I8DVQT57IO729,"Pirmais Pensiju Plāns",,"Brīvības iela 180, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LVB001041,254900R7PA3J0IQ6NR39,"SEB indeksu plāns 15-54",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LVB001039,254900GQM7CJJRCWNH45,"SEB izaugsmes plāns 15-54",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LVB001042,549300F3Z5K7P1EI9X50,"SEB konservatīvais plāns 60+",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LVB001038,549300QVNYWUCMYKSU29,"SEB līdzsvara plāns 55-59",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LVB001044,549300LS4LBAIDAY7M25,"SEB stabilais plāns 60+",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LVB001071,549300FH42NQ9UZ4AX66,"SEB-Klimata indeksu pensiju plāns 18-54",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LVB001057,549300L1EEK3SI3SUP75,"SEB-Līdzsvara pensiju plāns 55-59",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001058,5493001G8E67C6LKP741,"SEB-Stabilais pensiju plāns 60+",,"Elizabetes iela 95, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LVB001013,485100MFXBJN5PV6L081,"Swedbank dzīves cikla plāns 1970+",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LVB001014,485100DYI18ULMSNGW14,"Swedbank dzīves cikla plāns 1980+",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LVB001004,48510061WNQ7CD0IWG32,"Swedbank dzīves cikla plāns 1990+",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LVB001129,4851003ERMV4H7TBTG68,"Swedbank dzīves cikla plāns 2000+",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LVB001062,549300PJE28PPPBBHT13,"Swedbank pensiju plāns Dinamika 18-49",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LVB001080,485100LTEHB6B0WN5C18,"Swedbank pensiju plāns Dinamika Indekss 18-49",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LVB001061,549300XHJIBD3B0ZH624,"Swedbank pensiju plāns Sabalansētais 50-54",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LVB001060,549300GJZLOJN0IJCL13,"Swedbank pensiju plāns Stabilitāte 55+",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LVB001079,4851007VOXKMWDHMI391,"Swedbank plāns Dinamika Indekss 15-54",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LVB001045,549300NUCP99P6H6BQ10,"Swedbank plāns Sabalansētais 55-59",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001046,549300UJQZM1F6NQRL66,"Swedbank plāns Stabilitāte 60+",,"Balasta dambis 15, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
