CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FI01304268,743700ZYCLLTS1AHM666,"Sanoman Eläkesäätiö",,"Töölönlahdenkatu 2, 00089, SANOMA",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
FI14725248,74370088U8HGPLH07L45,"Säteri Oy:n Eläkesäätiö, selvitystilassa",,"c/o Porasto Oy, 00560, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI02137860,,"SLO:n Eläkesäätiö",,"Ritakuja 2, 01740, VANTAA",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FI01169297,743700VK0HRO7L3ULN39,"Suomen Hypoteekkiyhdistyksen Eläkesäätiö",,"Arabiankatu 12, 00560, HELSINKI",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI02001082,743700QNIO1FTA122F73,"Suomen Kansallisteatterin Näyttelijäin Eläkekassa",,"LÄNTINEN TEATTERIKUJA 1 B, 00100, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI17358033,743700EPWRGEQDNFNT30,"Telian Eläkesäätiö",,"Arabiankatu 12, 00560, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FI98001756,,"Telian Eläkesäätiö A-osasto",,"",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI09376346,743700N8AUY31LUZSZ32,"URA-Asennus Oy:n Eläkesäätiö s.r., selvitystilassa",,"OULAISTENKATU 21, 86300, OULAINEN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI01554822,743700B04AOW31RID897,"Väinö Paunu Oy:n Eläkesäätiö, selvitystilassa",,"KUOPPAMÄENTIE 14, 33800, TAMPERE",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI02000127,743700IRC72LHS4YIS83,"Valion Eläkekassa",,"Meijeritie 4, 00370, Helsinki",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FI10173837,743700E2T040AE545070,"VR Eläkesäätiö",,"Radiokatu 3, 00240, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FI18210620,743700L5CZ5YOTMEK568,"Yara Suomen Eläkesäätiö",,"Bertel Jungin aukio 9, 02600, ESPOO",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FI01171637,743700DSCIOZRVR8P092,"Yleisradion eläkesäätiö",,"Radiokatu 3, 00240, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI98001641,,"Yleisradion Eläkesäätiö A-osasto",,"",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
