CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FR908311103,969500G1QLP9QQKT0Q33,"ALAN INSURANCE","117 QUAI DE VALMY, 75010, PARIS",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR429369309,969500U8QCKI2L7WSQ51,"ALBINGIA","109 A 111 RUE VICTOR HUGO, 92300, LEVALLOIS PERRET",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FR487424608,969500VV8Y4PQ7XJWE02,"ALLIANZ GLOBAL CORPORATE & SPECIALTY SE","1 cours Michelet CS 30051, 92076, PARIS LA DEFENSE CEDEX",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR505282574,,"ALLIANZ GLOBAL LIFE LIMITED","1 cours Michelet CS 30051, 92076, PARIS LA DEFENSE CEDEX",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR542110291,969500I7XUD776A1HP65,"ALLIANZ IARD","87   RUE DE RICHELIEU, 92076, PARIS 02 EME",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FR340234962,969500YP677G8D10KG56,"ALLIANZ VIE","87   RUE DE RICHELIEU PARIS 2, 92076, PARIS 02 EME",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR928798214,969500JH05BFC3AB2L05,"ALSTOM RÉASSURANCE","48, RUE ALBERT-DHALENNE, 93400, SAINT-OUEN-SUR-SEINE",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FR431942838,969500A4WQJE8I9EGF72,"ALTIMA ASSURANCES","275 RUE DU STADE, 79180, CHAURAY",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FR775691140,969500UHKX0M5XW6XB45,"AM-GMF","148 RUE ANATOLE FRANCE, 92300, LEVALLOIS PERRET",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FR775597768,969500NFZGELAANDVU85,"AMELLIS MUTUELLES","8  RUE DE LA POYAT, 39200, SAINT CLAUDE",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR487597510,969500G5UUIOBSWV2M68,"AMF ASSURANCES","66 RUE DE SOTTEVILLE, 76100, ROUEN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR815053483,,"AMLIN INSURANCE SE","",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FR429351703,9695006KHG0G39CBFN97,"ANIPS","IMMEUBLE WEST PARK 2 - 2      BD   DE PESARO, 92000, NANTERRE",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FR304217904,969500BLSRLKAB9DL911,"APGIS","12 RUE MASSUE, 94684, VINCENNES CEDEX",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FR440839942,969500E246CHVQRPGL86,"APICIL EPARGNE","51 BOULEVARD MARIUS VIVIER-MERLE, 69003, LYON",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
FR302927553,969500TNDMES6NUDHV50,"APICIL MUTUELLE","51 BOULEVARD MARIUS VIVIER-MERLE, 69003, LYON",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
FR321862500,969500D3CIL5P47FL803,"APICIL PREVOYANCE","51 boulevard Marius Vivier-Merle, 69003, LYON",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FR353408644,969500SPPKWS1JNU5V92,"AREAS VIE","47 RUE DE MIROMESNIL, 75008, PARIS",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR751142217,,"ARGOGLOBAL SE","Multiburo 15 rue TAITBOUT, 75009, PARIS",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FR315588376,969500YXWUV2ZU5ZHY35,"ARPEGE PREVOYANCE","143 AVENUE ARISTIDE BRIAND BP 2439, 68067, MULHOUSE CEDEX",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
