CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AT0000001676574,5299007W3TDXUG0DIK38,"ERGO Versicherung Aktiengesellschaft","ERGO Center Business Park Marximum/ Objekt, 3 Modecenterstraße 17, 1110, Wien",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AT0000114405705,,"ERGO Versicherung Aktiengesellschaft Deutschland, Niederlassung für Österreich","ERGO Center Business Park Marximum, Obj.3/5 Modecenterstraße 17, 1110, Wien",no-vida,DEA09SZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AT0000202939847,,"EUROHERC osiguranje - Aktiengesellschaft für die Vermögens- und Personenversicherung und andere Versicherungsgeschäfte Zweigniederlassung Österreich-Wien (EUROHERC Versicherung AG Zweigniederlassu","Schwarzenbergplatz, 6, 1030, Wien",no-vida,HR22694857747                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AT0000001255981,52990097HEM6G3FED703,"Europäische Reiseversicherung Aktiengesellschaft","Kratochwjlestraße, 4, 1220, Wien",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AT0000027925401,,"GARANTA Versicherungs-AG Österreich","Moserstraße, 33, 5020, Salzburg",no-vida,DEA4T88                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AT0000057993253,529900DWH97D9JIHDI47,"Gegenseitiger Brandschaden Versicherungsverein Aschbach","Austraße, 1, 3361, Aschbach",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AT0000194108674,529900Z9DOFBPF0ROI56,"Gegenseitiger Brandschaden Versicherungsverein Enzenkirchen","Am Berg, 7, 4776, Diersbach",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AT0000066068493,,"General Reinsurance AG Vienna Branch","Wiedner Gürtel, 13 ICON Turm 24 / Top 13.04, 1100, Wien",reaseguros,DEA4LH6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
AT0000013983182,5299004SL2CE7OOL8A43,"Generali Versicherung AG","Landskrongasse, 1-3, 1010, Wien",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AT0000099292904,529900Y6D4MXQ7ZC7978,"Gitzmairische Versicherung Neuhofen Versicherungsverein auf Gegenseitigkeit","Linzer Straße, 30, 4531, Kematen an der Krems",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000017278936,529900FG0GI56U22D808,"Grazer Wechselseitige Versicherung Aktiengesellschaft","Herreng., 18-20, 8010, Graz",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AT0000001347598,52990032H55ZB3NCVU16,"HDI Versicherung AG","Edelsinnstraße, 7-11, 1120, Wien",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AT0000000648079,984500E65981FC3BD028,"Helvetia Schweizerische Versicherungsgesellschaft AG Direktion für Österreich","Jasomirgottstr., 2, 1010, Wien",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AT0000000614253,529900KV3HC5NKWHPJ22,"Helvetia Versicherungen AG","Hoher Markt, 10-11, 1010, Wien",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AT0000057990317,529900EO1BJZOYIB0W66,"Hohenauer Versicherung auf Gegenseitigkeit","Hohenau, 80, 8162, Passail",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AT0000002409314,52990026MIR2VKI27R34,"Kärntner Landesversicherung auf Gegenseitigkeit","Domgasse, 21, 9020, Klagenfurt",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AT0000115262543,,"KRAVAG-LOGISTIC Versicherungs-AG, Niederlassung Österreich","Wilhelmstraße, 68, 1120, Wien",no-vida,DEA3FXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AT0000099292821,529900PJDP9I6DVWZV24,"Kremsmünsterer Versicherungsverein auf Gegenseitigkeit","Hauptstraße, 15, 4550, Kremsmünster",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AT0000000525822,529900ANML3GKWMNF940,"Merkur Lebensversicherung Aktiengesellschaft","Moserstraße, 33, 5020, Salzburg",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000017907146,529900EJ7YPUKHGI1W50,"Merkur Versicherung Aktiengesellschaft","Conrad-von-Hötzendorf-Straße, 84, 8010, Graz",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
