CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL6871507,222100CX7EV1IFSU2M92,"Kring equensWorldline",,"Handelsweg 2, 3707 , ZEIST",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL9690182,222100N4DMXG2HCXSF59,"Kring ES Nederland",,"HANDELSWEG 2, 3707 , ZEIST",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL4484069,222100ZYRQT2PWLGWG89,"Kring HP Nederland",,"HANDELSWEG 2, 3707 , ZEIST",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL1055884,222100CIML7LZQK2N381,"Kring HPE",,"HANDELSWEG 2, 3707 , ZEIST",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL8095659,222100AIZ8M7R3SB6A88,"Kring Sligro Food Group",,"Handelsweg 2, 3707 , ZEIST",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL3448838,222100523MT9IPM6LI50,"Pensioenfondsenkring 1",,"Handelsweg 2, 3707 , ZEIST",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL5308848,549300F8HVCRE1MYJ823,"Pensioenkring 2",,"Europaweg 27, 9723 , GRONINGEN",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL5542746,549300W7UYBAZ7SO0646,"Pensioenkring 3",,"Europaweg 27, 9723 , GRONINGEN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL0326361,54930044UWPXIAI1K632,"Pensioenkring Aon Groep Nederland","Stichting Algemeen Pensioenfonds Stap","Europaweg 27, 9723 , GRONINGEN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL1001358318,5493006YKJK0ZZDKIC74,"Pensioenkring Arcadis",,"Archimedeslaan 10, 3584 , Utrecht",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
