CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
HU18083017,529900HVP4DAV3S2OD53,"KÖBE Közép-európai Kölcsönös Biztosító Egyesület","VENYIGE UTCA 3., 1108, Budapest 10. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
HU18343971,,"Kunadacsi Kertészek Baráti Köre Egyesület","Kossuth Lajos utca 51., 6097, KUNADACS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HU12761018,529900O5HPVPPEUIC831,"LegitiMo Jogvédelmi Biztosító Zártkörűen Működő Részvénytársaság","Hungária körút 30. A. épület 8. emelet, 1087, Budapest 08. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HU10949621,529900315RI9SKMOLG74,"Magyar Exporthitel Biztosító Zártkörűen Működő Részvénytársaság","Nagymező utca 46-48., 1065, Budapest 06. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HU18857522,,"Magyar Gazdák Egyesülete","KAZINCZY UTCA 28. 1. emelet 2. ajtó, 3525, Miskolc",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
HU12833632,5299001P5NZ0Q1C53P52,"Magyar Posta Biztosító Zrt.","Váci út 17. 2. emelet, 1134, Budapest 13. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
HU12833625,529900GRRUWC2QQEXR75,"Magyar Posta Életbiztosító Zrt.","Váci út 17. 2. emelet, 1134, Budapest 13. ker.",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HU19670656,52990073SWRVST25IQ23,"MAGYAR ÜGYVÉDEK KÖLCSÖNÖS BIZTOSÍTÓ EGYESÜLETE","HEGEDŰS GYULA UTCA 8. IV. emelet 5. ajtó, 1136, Budapest 13. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HU22157629,984500N46FF50E8A1424,"MAPFRE ASISTENCIA S.A. Magyarországi Fióktelepe","István út 16., 1041, Budapest 04. ker.",no-vida,ESA79194148                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HU32409336,8755007BCOV13EVKUT42,"Medicare Biztosító Zártkörűen Működő Részvénytársaság","Váci út 29-31., 1134, Budapest 13. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HU19396721,,"Medikon Kölcsönös Baleset és Egészség Biztosító Egyesület","TARHOS UTCA 21782/3. B/ÉP. épület, 1037, Budapest 03. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HU25363926,529900PKGQPLD58HU425,"MetLife Europe d.a.c. Magyarországi Fióktelepe","Népfürdő utca 22., 1138, Budapest 13. ker.",vida,IEC42062                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HU10492033,213800LJXKNQGWI7T748,"NN Biztosító Zrt.","Fiastyúk utca 4-8., 1139, Budapest 13. ker.",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HU25489659,,"Österreichische Hagelversicherung VVaG Magyarországi Fióktelepe","Bem rakpart 38-39. IV. emelet 5. ajtó, 1027, Budapest 02. ker.",no-vida,AT0000002407888                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
HU22325954,,"Porsche Versicherungs, AG. Magyarországi Fióktelepe","Fáy utca 27., 1139, Budapest 13. ker.",no-vida,AT0000001055381                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
HU10828704,529900J6X2TY517BIE79,"SIGNAL IDUNA Biztosító Zártkörűen Működő Részvénytársaság","Alkotás utca 50., 1123, Budapest 12. ker.",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
HU22945143,,"Societatea Comerciala de Asigurare-Reasigurare Astra S.A. Biztosító Magyarországi Fióktelepe","Könyves Kálmán körút 12-14., 1097, Budapest 09. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HU27351024,,"Starr Europe Insurance Limited Magyarországi Fióktelepe","Október huszonharmadika utca 8-10. 4. emelet, 1117, Budapest 11. ker.",no-vida,MTA180744                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU18830228,,"Tiszasülyi Kölcsönös Növénybiztosító Egyesület","KISÉRI ÚT 21., 5061, Tiszasüly",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
HU10491984,549300TOYUBF02YGV429,"UNION Vienna Insurance Group Biztosító Zrt.","Baross utca 1., 1082, Budapest 08. ker.",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
HU10456017,549300RLBB7L1SYSG775,"UNIQA Biztosító Zártkörűen Működő Részvénytársaság","Róbert Károly körút 70-74., 1134, Budapest 13. ker.",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
