CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE5164016585,549300UBWIKCDM7RVI96,"Bliwa Skadeförsäkring AB (publ)","Box 5, Box 13076, 103 0, STOCKHOLM",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE5164060567,213800HD17UKYN8WOQ74,"BNP Paribas Cardif Försäkring AB","Mölndalsbro 5, 431 3, Mölndal",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE5164060559,213800KQ2VVX3JK26M30,"BNP Paribas Cardif Livförsäkring AB","Mölndalsbro 5, 431 3, Mölndal",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE5164060211,549300KOJKUWC0T6GZ17,"Bohlinsgruppen i Sverige Försäkring AB","Box 382, 101 2, Stockholm",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE5533006150,8945006R416H780G3A72,"Bohusassuransen Försäkringsbolag Ömsesidigt","Svanvik 510, 471 7, HJÄLTEBY",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE5546003921,549300J3T9N652WZIN23,"Bohusläns Allmänna Sjöförsäkringsförening","Rosviksgatan 5, 453 3, Lysekil",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE5546003913,549300HDJ1NDQPAC4936,"Bohuslänska Strandlägenas Brandförsäkringsförening","Bäckevikstorget 1, 456 3, KUNGSHAMN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8947006295,,"Bolidengruvornas arbetares försäkringsförening","Finnforsvägen 4, 936 3, Boliden",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE8350004399,5493005Y8AOOOA5X0S16,"Borgerskapet De Äldeste Carlskrona Försäkringsförening","Borgmästaregatan 9, 371 1, Karlskrona",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE5720004935,549300MJN54ONOQRHV07,"Brunskogs Försäkringsbolag","Edanevägen 33, 671 7, EDANE",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8020055128,,"Bryggeritjänstemannaföreningen understödsförening","Evenemangsgatan 31, 169 0, Solna",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE5164035601,,"Chubb European Group SE, Sverige filial","Box 8, ST.ERIKSGATAN 44/P.O.BOX 12890, 101 3, Stockholm",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE5164044074,,"Chubb Life Europe SE, filial Sverige","Box 8, ST.ERIKSGATAN 44/P.O.BOX 12890, 101 3, Stockholm",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE5020008842,549300JNTC1CISKDAP56,"Cosa Försäkrings AB i likvidation","Järnvågsgatan 3, 413 2, Göteborg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE5832014905,549300E27A0C6B4P7S04,"Dalarnas Försäkringsbolag","Slaggatan 7, 791 7, FALUN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE5164018029,549300G7RXJGBKXJFU58,"Dina Försäkring AB","Skeppsbron 2, 111 3, STOCKHOLM",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SE5672004818,549300UBLLK7WAAJEN73,"Dina Försäkringar Göta Ömsesidigt","Sjukhusgatan 7, 553 0, JÖNKÖPING",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE5865005135,549300LZMBUJIM01QM51,"Dina Försäkringar Mitt, ömsesidigt","Södra Kyrkvägen 3, 821 3, BOLLNÄS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SE5896006581,549300O547MHDSN1EG08,"Dina Försäkringar Nord ömsesidigt","Storgatan 136, 881 4, SOLLEFTEÅ",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
