CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESW0049001A,,"ARAG SE SUC.ESPAÑA","NUÑEZ DE BALBOA 120, 28006, MADRID",no-vida,DEA3J2C,"E0210"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESW0275415H,,"ARCH INSURANCE (EU) DESIGNATED ACTIVITY COMPANY SUCURSAL EN ESPAÑA","CL BARCELÓ, 1, 28004, MADRID",no-vida,IEC90125,"E0257"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESW0275019H,95980086ULMQDN7HTF27,"ASEFA, SMA, SA, SUCURSAL EN ESPAÑA","AVDA DE MANOTERAS 32, 28050, MADRID",no-vida,,"E0256"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW4121985H,959800GN0JNM5ZJ9HW67,"ASEGURADORA  ASERTA, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE, SUCURSAL EN ESPAÑA","PASEO DE LA CASTELLANA 52, 28046, MADRID",no-vida,MX0ECBM01000,"E0223"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA37001369,9598003REPS2DQZC4946,"ASEGURADORES AGRUPADOS, SOCIEDAD ANONIMA DE SEGUROS (ASEGRUP)","C/ XÁTIVA 23, 46002, VALENCIA",no-vida,,"C0001"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESV48148639,959800NJGT7EM6071604,"ASEMAS-MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA (CON DERRAMA PASIVA)","CL GRAN VIA 2, 48001, BILBAO",no-vida,,"M0369"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESA67636399,9598009L8F1DU7B3UZ57,"ASERTA EUROPA SEGUROS Y REASEGUROS,S.A.","VELÁZQUEZ 94, 28001, MADRID",no-vida,,"C0813"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESA87425070,959800LRELQMVGMPQR51,"ASISA VIDA SEGUROS, S.A.U.","CL JUAN IGNACIO LUCA DE TENA 12, 28027, MADRID",compuestos,,"C0801"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESA08169294,9598000XV29EQE8XZE52,"ASISA, ASISTENCIA SANITARIA INTERPROVINCIAL DE SEGUROS, S.A., SOCIEDAD UNIPERSONAL","CL JUAN IGNACIO LUCA TENA 12, 28027, MADRID",no-vida,,"C0461"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESA50005586,9598000H54PYRAA4RB19,"ASISTENCIA CLINICA UNIVERSITARIA DE NAVARRA, S.A. DE SEGUROS Y REASEGUROS","AV PIO XII 57, 31008, Pamplona/Iruña",no-vida,,"C0325"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESA08169526,959800MTKTQ130ZQ7844,"ASISTENCIA SANITARIA COLEGIAL, SOCIEDAD ANONIMA DE SEGUROS","Avda. Josep Tarradellas 123-127, 08029, BARCELONA",no-vida,,"C0416"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESG28231553,959800DV24AHDDEC2876,"ASOCIACION BENEFICA DE EMPLEADOS DEL BANCO DE ESPAÑA MUTUALIDAD DE PREVISION SOCIAL","CL ALCALA 48, 28014, MADRID",vida,,"P0085"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESA28026482,9598004J227WWH4YKQ12,"ASOCIACION EUROPEA COMPAÑIA DE SEGUROS, S.A.","GRAN VIA 30, 28013, MADRID",no-vida,,"C0394"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESG28556462,959800HQ7G2GQVM13B03,"ASOCIACION FERROVIARIA MEDICO FARMACEUTICA DE PREVISION SOCIAL, MUTUALIDAD DE PREVISION SOCIAL A PRIMA FIJA","PASEO DE LAS DELICIAS 48, 28045, Madrid",no-vida,,"P1840"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
