CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA48051098,5493003B0IKU22G55E77,"BBVASEGUROS, S.A., DE SEGUROS Y REASEGUROS","CL GRAN VIA DIEGO LOPEZ DE HARO 12, 48001, BILBAO",compuestos,,"C0502"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESI17504079,,"BEAZLEY INSURANCE DESIGNATED ACTIVITY COMPANY SUC.EN ESPAÑA","TORRE GLORIES  PLT. 28 AVD DIAGONAL 28, 08018, BARCELONA",no-vida,IEC53853,"E0224"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESW0074423E,,"BERKSHIRE HATHAWAY EROPEAN INSURANCE DAC-SPAIN BRANCH","CALLE MARÍA DE MOLINA 6, 28006, MADRID",no-vida,IEC182407,"E0242"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA86485794,959800BZUFHCZ4ZMMR30,"CA LIFE INSURANCE EXPERTS COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.U.","C/ AGUSTÍN DE FOXÁ 29-6ª, 28036, Madrid",vida,,"C0797"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA64097892,95980020140005005183,"CAIXA ENGINYERS VIDA-CAJA INGENIEROS VIDA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.","C/ RAMBLA DE CATALUÑA 2 2,, 08010, Barcelona",vida,,"C0777"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA28013050,95980020140005375044,"CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.","AV DE BURGOS 109, 28050, MADRID",compuestos,,"C0031"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESA04653556,959800HZJ8FR6HC1GK85,"CAJAMAR SEGUROS GENERALES, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS","CALLE CIUDAD FINANCIERA 1, 04131, Almería",no-vida,,"C0780"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESA04465555,549300FLM74NQRSUDX77,"CAJAMAR VIDA, SOCIEDAD ANONIMA DE SEGUROS Y REASEG UROS","CALLE CIUDAD FINANCIERA 1, 04131, ALMERIA",vida,,"C0757"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESW0012421D,9598009ZEXXSV125QQ77,"CARDIF ASSURANCE VIE, SUCURSAL EN ESPAÑA","EMILIO VARGAS  N º4 4, 28043, MADRID",vida,FR732028154,"E0129"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESW0012420F,,"CARDIF ASSURANCES RISQUES DIVERS SUC.ESPAÑA","EMILIO VARGAS 4 4, 28043, MADRID",no-vida,FR308896547,"E0130"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESW0092697B,213800NZ7SOBNCVCQ541,"CASUALTY & GENERAL INSURANCE COMPANY (EUROPE) LIMITED","CALLE BRUJULA, 4, 29016, MALAGA",no-vida,,"E0253"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESW0046688H,,"CG CAR-GARANTIE VERSICHERUNGS-AKT SUC.ESPAÑA","AVDA DE LAS CORTES VALENCIANAS 39-4-C, 46015, VALENCIA",no-vida,DEA4OB7,"E0190"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0257995A,,"CGPA EUROPE, S.A., SUCURSAL EN ESPAÑA","CL SAN VICENTE MÁRTIR, 118, 46007, VALENCIA",no-vida,,"E0254"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESW0067389G,,"CHUBB EUROPEAN GROUP SE SUC.ESPAÑA","PASEO DE LA CASTELLANA 141 141, 28046, MADRID",no-vida,,"E0155"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0069691D,,"CHUBB LIFE EUROPE SE, SUCURSAL EN ESPAÑA","PASEO DE LA CASTELLANA 141., 28046, MADRID",compuestos,FR450327374,"E0175"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESN0021205J,,"CIGNA LIFE INSURANCE COMPANY OF EUROPE S.A., SUCUR SAL EN ESPAÑA","PS DEL CLUB DEPORTIVO 14, 28223, POZUELO DE ALARCON",compuestos,BE0421437284,"E0133"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESA08169690,9598003MMXJNZZS7D544,"CLINICUM SEGUROS, SOCIEDAD ANONIMA","PS DE GRACIA 121, 08008, BARCELONA",no-vida,,"C0225"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESW0013620J,959800Q86ZLRVZQY9H15,"CNP ASSURANCES SUCURSAL EN ESPAÑA","CL CEDACEROS, 10, 28014, MADRID",compuestos,FR341737062,"E0160"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESW0010754J,959800LU6RMLP8NZK354,"CNP CAUTION SUCURSAL ESPAÑA","CALLE CEDACEROS 10 10,, 28014, MADRID",no-vida,FR383024098,"E0221"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0012052G,,"COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR SUC.ESPAÑA (COFACE)","VIA DE LOS POBLADOS 3 EDIFICIO 6 3, 28033, MADRID",no-vida,FR552069791,"E0116"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA31005432,959800ZBF6JL2EMDFL97,"COMPAÑIA DE SEGUROS IGUALATORIO MEDICO QUIRURGICO Y DE ESPECIALIDADES DE NAVARRA, SOCIEDAD ANONIMA","AVDA. BAYONA 4, 31011, PAMPLONA",no-vida,,"C0465"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA28264034,9598002W9QQANQBTYQ69,"COMPAÑIA ESPAÑOLA DE SEGUROS DE CREDITO A LA EXPORTACION, S.A., COMPAÑIA DE SEGUROS Y REASEGUROS, SOCIEDAD MERCANTIL ESTATAL (CESCE)","CL VELAZQUEZ 74, 28001, MADRID",no-vida,,"C0516"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESW0171343G,,"CREDENDO-GUARANTEES & SPECIALTY RISKS SA SUC.EN ESPAÑA","RONDA GUGLIELMO MARCONI 11 11,, 46980, Paterna",reaseguros,BE0864602471,"E0171"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESV46055810,9598002D114YGE8ZGT76,"DIVINA PASTORA SEGUROS, MUTUA DE SEGUROS","CL XÁTIVA 23, 46002, VALENCIA",vida,,"M0381"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESA20002002,959800PYGLABEDYXUF38,"DIVINA PASTORA, SEGUROS GENERALES, S.A.U.","C/ Xátiva 23, 46002, Valencia",no-vida,,"C0247"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA50004209,529900G6IMJJHYXFWN65,"DKV SEGUROS Y REASEGUROS, SOCIEDAD ANONIMA ESPAÑOLA","AVENIDA DE MARIA ZAMBRANO 31, 50018, ZARAGOZA",no-vida,,"C0161"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA28072940,9598005RQFK6E65T5425,"ERGO GENERALES SEGUROS Y REASEGUROS, S.A.","CL CONCHA ESPINA 63, 28016, MADRID",no-vida,,"C0120"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0040918E,,"ERGO SEGUROS DE VIAJE  SUC.ESPAÑA","AVDA ISLA GRACIOSA N º 1 1, 28703, MADRID",no-vida,DEA4JJT,"E0217"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESA79420899,5299003NVOZ58BDXCC38,"ERGO VIDA SEGUROS Y REASEGUROS, SOCIEDAD ANONIMA","Avda María Zambrano 31, 50018, ZARAGOZA",vida,,"C0696"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESA28008647,959800JQA0H1B14GUA38,"ESPAÑA, S.A., COMPAÑÍA NACIONAL DE SEGUROS","CL PRINCIPE DE VERGARA 38, 28001, MADRID",compuestos,,"C0069"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESN0013307D,,"EUROMAF SA ASSURANCE INGENIEURS ET ARQUI","CL MARQUES DE URQUIJO 28, 28008, MADRID",no-vida,FR429599509,"E0148"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA33003906,9598005NJSKY2493BP37,"EXPERTIA GLOBAL SEGUROS Y REASEGUROS, S.A.","Cl Arminza 2, 28023, MADRID",no-vida,,"C0355"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESA46001186,959800YWW2JCU3254E20,"FAMILIAR DE SEGUROS ACTIVE, SOCIEDAD ANONIMA","AV. DE LAS CORTES VALENCIANAS 17, 46015, VALENCIA",no-vida,,"C0007"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESG08257818,959800N73410Z4019B34,"FEDERACIÓ DE MUTUALITATS DE CATALUNYA","CL ROGER DE LLÚRIA, 119, 08037, BARCELONA",compuestos,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESG08171407,95980020140005337408,"FIATC, MUTUA DE SEGUROS Y REASEGUROS","AV DIAGONAL 648, 08017, BARCELONA",compuestos,,"M0134"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESW0101170I,98450074A77DO5F87590,"FIDELIDADE COMPANHIA DE SEGUROS S.A SUC.ESPAÑA","EDIFICIO C PARQUE EMPRESARIAL TRIANÓN 9-11, 28033, Madrid",compuestos,PT500918880,"E0118"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0185262C,,"FM INSURANCE EUROPE S.A  SUC. EN ESPAÑA","Pº DE LA CASTELLANA 259 C 259, 28046, MADRID",no-vida,LURCSB0211309,"E0222"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESW0043948I,,"GENERAL REINSURANCE SUC. ESPAÑA","EDIFICIO A. MAHOU 6º PLT 6º, 28020, MADRID",reaseguros,DEA4LH6,"E0228"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA48037642,549300ODC1UIUYG6ZW52,"GENERALI SEGUROS Y REASEGUROS S.A.","PLAZA DE MANUEL GOMEZ MORENO 5, 28020, MADRID",compuestos,,"C0467"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESV08995482,,"GERMANDAT DE SANT JOAN BAPTISTA DE SANT CELONI, MUTUALITAT DE PREVISIÓ SOCIAL A PRIMA FIXA","CL DIPUTACIÓ, 34 (ED. HOSPITAL SANT CELONI), 08470, SANT CELONI",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESV08892010,95980034K5U4J5WQ0X71,"GERMANDAT DE SANT SEBASTIÀ DE PREVISIÓ SOCIAL, MPS","CL SANTA ANNA, 1 (ATENEU CERVELLONÍ), 08758, CERVELLO",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESA28008712,95980020140005245355,"GES, SEGUROS Y REASEGUROS, S.A.","PZ DE LAS CORTES 2, 28014, MADRID",compuestos,,"C0089"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESW0049757H,,"HDI GLOBAL SE SUC.ESPAÑA","LUCHANA 23, 28010, MADRID",no-vida,DEA0E8F,"E0213"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESA15008931,959800FRV9QXPEHFXE94,"HERCULES SALUD SEGUROS, S.A.","CT DE LA PALLOZA 4-6, 15006, LA CORUÑA",no-vida,,"C0315"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESV28306678,549300XJUJHXPUOOIE33,"HERMANDAD NACIONAL DE ARQUITECTOS, ARQUITECTOS TÉCNICOS Y QUIMICOS, MUTUALIDAD DE PREVISION SOCIAL (HNA)","AV DE BURGOS 17, 28036, MADRID",compuestos,,"P3028"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
