CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
GRPF007,213800H9QEC8DDNUYJ07,"OCCUPATIONAL INSURANCE FUND OF THE HELLENIC POST-TEA ELTA",,"APELLOU 1, 10188, Athens",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GRPF015,213800DVUSKXNR1MML50,"OCCUPATIONAL INSURANCE FUND P.A.S.I.A.L. and E.A. - PRIVATE LEGAL ENTITY",,"MITROPOLEOS 3, 10557, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GRPF003,213800N3T2G7VYZJLT56,"OCCUPATIONAL PENSION FUND FOR EMPLOYEES OF FOOD COMMERCE",,"Theofanous 19-21, 11523, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
GRPF019,,"Occupational pension fund of Hellenic civil aviation authority OPF HCCA",,"VOULIAGMENHS AVE. 409 HLIOUPOLH, 16346, ATHENS",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
GRPF021,2138001WI2M8HESPI942,"Occupational Pension Fund of Interlife AAEGA",,"NATIONAL ROAD THESSALONIKI-POLIGYROS 14TH KM, THERMI, 57001, THESSALONIKI",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
GRPF026,213800TUAE97479Y7O27,"OCCUPATIONAL PENSION FUND OF INTRUM HELLAS A.E.D.A.D.P",,"109-111 MESOGEION AVE, 11526, Athens",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
GRPF022,213800G68Z3Q2EOKXZ82,"Occupational Pension Fund of the Beta CAE Systems SA",,"ANO SCHOLARI, EPANOMI, 57500, THESSALONIKI",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
GRPF024,213800RNNFIEVC918I37,"OCCUPATIONAL PENSION FUND OF THE HELLENIC FUND AND ASSET MANAGEMENT ASSOCIATION- PRIVATE LEGAL ENTITY - HE.F.A.M.A. PENSION FUND",,"Valaoritou 9, 10671, ATHENS",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
GRPF014,213800BBWUT28V98QC64,"OCCUPATIONAL PENSION FUND OF THE INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS OF GREECE",,"KAPODISTRIOU 28, 10682, Athens",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
GRPF016,213800UPW6HUJXPLQ998,"Occupational Pension Fund of the Medical Chamber of Thessaloniki",,"EPANOMIS 26 KAI ANDRIANOUPOLEOS, 55133, THESSALONIKI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GRPF017,213800NBE7H1E9ZQRB08,"Occupational Pension Fund of Tsakos Maritime Enterprises and Associates",,"MEGARON MACEDONIA, SYNGROU AV. 367, 17564, P. FALIRO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
GRPF004,213800NGGKF5BLOPK312,"OCCUPATIONAL SUPPLEMENTARY PENSION FUND OF PERSONNEL OF PETROCHEMICAL COMPANIES",,"Hristou Lada, 1, 10561, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
GRPF031,,"Pension Fund Members and Employees of Athens Medical Association",,"Sevastoupoleos 113, 11526, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
