CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0011,259400MI3CFR0KT4CB73,"GENERALI ŻYCIE T.U. S.A.","ul. Senatorska 18, 00-08, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLIC0078,,"Inter Partner Assistance SA Oddział w Polsce","ul. Giełdowa 1, 01-21, Warszawa",no-vida,BE0415591055                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PLIC0044,259400PLLK80RTTNTX09,"INTERRISK TU S.A. Vienna Insurance Group","ul. Noakowskiego 22, 00-66, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0045,2594004SBASDDT1AO432,"KUKE S.A.","ul. Krucza 50, 00-02, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLIC0046,2594001JSECH6MFMMV96,"LINK4 TU S.A.","ul. Postępu 15, 02-67, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0081,,"LMG Försäkrings AB Spółka Akcyjna Oddział w Polsce","ul. Postępu 21C, 02-67, Warszawa",no-vida,SE5164060831                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0101,648881UQ5UO0T19H0A23,"LUX MED UBEZPIECZENIA TUiR S.A.","ul. Szturmowa 2, 02-67, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLIC0083,,"MEDICOVER FORSAKRINGS AB (PUBL)SPÓŁKA AKCYJNA - ODDZIAŁ W POLSCE","Al. Jerozolimskie 96, 00-80, Warszawa",no-vida,SE5164060435                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLIC0088,25940098WUP2IVVEJ498,"NATIONALE-NEDERLANDEN TU S.A.","ul. Topiel 12, 00-34, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLIC0014,259400B0G3LJVFVZS942,"Nationale-Nederlanden TUnŻ S.A.","ul. Przemysłowa 26, 00-45, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLIC0016,259400MNYUI0WSI1WU07,"OPEN LIFE TU ŻYCIE S.A.","al. Solidarności 171, 00-87, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PLIC0048,2594000WLJ13ESKASA93,"PARTNER TUiR S.A.","ul. Domaniewska 41, 02-67, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLIC0049,259400L7A6OTQVPR5142,"PKO TU S.A.","ul. Chłodna 52, 00-87, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0017,259400TWCMDKMV6KYT84,"PKO ŻYCIE TU S.A.","ul. Chłodna 52, 00-87, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLIC0018,2594000AHJEYP8FJ1O21,"POCZTOWE TUnŻ S.A.","ul. Rodziny Hiszpańskich 8, 02-68, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC000097,259400ZJ1NS8P8UVI755,"POLSKI GAZ TUW na ŻYCIE w likwidacji","ul. Marcina Kasprzaka 25, 01-22, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0086,25940080MQ87ZM82JK66,"POLSKI GAZ TUW w likwidacji","ul. Marcina Kasprzaka 25, 01-22, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLIC0063,259400LXB4UV91XLM591,"Prevoir-Vie Groupe Prevoir SA Oddział w Polsce","ul. Emilii Plater 28, 00-68, Warszawa",vida,FR343286183                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLIC000092,,"PRUDENTIAL INTERNATIONAL ASSURANCE PLC SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","ul. Puławska 182, 02-67, Warszawa",vida,IEC33481                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0051,2594008USOEILJJGOK51,"PTR S.A.","ul. Bytomska 4, 01-61, Warszawa",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0052,QLPCKOOKVX32FUELX240,"PZU SA","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLIC0021,549300TNSHGVU2UXO005,"PZU ŻYCIE SA","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLIC0085,,"RGA INTERNATIONAL REINSURANCE COMPANY DESIGNATED ACTIVITY COMPANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE","al. Jana Pawła II 19, 00-85, Warszawa",reaseguros,IEC38002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0025,259400EWP7QTOKNKAZ46,"SALTUS TU ŻYCIE SA","ul. Władysława IV lok. 22, 81-74, Sopot",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0055,259400SKAQIVTKIH6E75,"SALTUS TUW","ul. Władysława IV lok. 22, 81-74, Sopot",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLIC0054,25940051LJ87Q7EBZT23,"SIGNAL IDUNA POLSKA TU S.A.","ul. Siedmiogrodzka 9, 01-20, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PLIC0023,259400B9SY86NYVXLX26,"SIGNAL IDUNA ŻYCIE POLSKA TU S.A.","ul. Siedmiogrodzka 9, 01-20, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PLIC0065,2594005NKYZJI7ERGI30,"SOGECAP S.A. Oddział w Polsce","Plac Solny 16, 50-06, Wrocław",compuestos,FR086380730                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLIC0084,2594005I5WAILQPYXW92,"SOGESSUR SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","Plac Solny 16, 50-06, Wrocław",no-vida,FR379846637                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PLIC0038,259400GGL5VECMUS2X04,"STU ERGO HESTIA SA","ul. Hestii 1, 81-73, Sopot",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0009,259400U4BI8QGN8SLJ29,"STUnŻ ERGO HESTIA SA","ul. Hestii 1, 81-73, Sopot",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLIC0003,259400IBCICD0KY7ZW46,"TU ALLIANZ ŻYCIE POLSKA S.A.","ul. Inflancka 4B, 00-18, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0039,259400UNFL1GUH63DE55,"TU EULER HERMES S.A.","Al. Jerozolimskie 98, 00-80, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
