CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0447194150,5493008BKFIK482H4E09,"ASSOCIATION D'ASSURANCE MUTUELLE CONTRE L'INCENDIE FORESTIER","3, Boulevard Bischoffsheim, 1-8, 1000, Brussel",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BE0479966292,,"ASSOCIATION PARITAIRE POUR L'EMPLOI ET LA FORMATION","Sainctelettesquare, 13-15, 1000, Brussel",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BE0403249982,549300PAVSGVFRCO2N92,"ASSURANCES DU NOTARIAT","Rue de la Montagne, 34, 1000, Brussel",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BE0411790041,549300YBOW48638ULF43,"ASSURANCES M.M.H.","B, Boulevard Alfred de Fontaine, 15, 6000, Charleroi",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BE0403262553,549300P6DGTSW7T4VE49,"ATHORA BELGIUM","Marsveldstraat, 23, 1050, Elsene",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0461960421,,"ATRADIUS CREDIT INSURANCE","AVENUE PRINCE DE LIÈGE(JB) 74-78, 5100, NAMUR",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BE0661624528,,"Atradius Crédito y Caucion SA de Seguros y Reaseguros","Avenue Prince de Liège(JB), 78, 5100, Namur",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BE0441208161,549300LWSE36NHU8ZU61,"ATV","12, Koning Albert II-laan, 4, 1000, Brussel",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BE0840478571,,"AVIVA INSURANCE LIMITED","PITHAVILS, ZN, 2600, PERTH (UNITED KINGDOM)",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BE0719984181,,"Aviva Life & Pensions Ireland Designated Activity Company","Marsveldstraat, 23, 1050, Ixelles",vida,IEC757                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BE0837437919,967600U3QWIHKZ85EX32,"AWP P& C SA, Belgian Branch","Koning Albert II-laan, 32, 1000, Bruxelles",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BE0404483367,FLI3LAZGPQ82RIDEI291,"AXA BELGIUM","Troonplein, 1, 1000, Brussel",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BE0719514524,,"Axis Specialty Europe SE","1, Louizalaan, 287, 1050, Elsene",no-vida,IEC33643                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
BE0400048883,549300T9LVWWHU63HW52,"BALOISE BELGIUM","Posthofbrug, 16, 2600, Antwerpen",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0405764064,549300J5UIRMVZOJBV45,"BELFIUS ASSURANCES","Place Charles Rogier, 11, 1210, Saint-Josse-ten-Noode",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BE0407229655,967600EMOTYE81150T23,"BELGISCH GEMEENSCHAPPELIJK WAARBORGFONDS","1, Liefdadigheidsstraat, 33, 1210, Sint-Joost-ten-Node",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0787566556,,"BERKSHIRE HATHAWAY EUROPEAN INSURANCE DESIGNATED ACTIVITY COMPANY","6EME , Sint-Lazaruslaan, 4-10, 1210, Saint-Josse-ten-Noode",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BE0402203372,5493002IRYEY6S36BI35,"C.D.A.","Jubelfeestlaan, 86, 1080, Molenbeek-Saint-Jean",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BE0413872670,,"Caisse complémentaire mixte fédérale","Avenue de Tervueren, 68-70, 1040, Etterbeek",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
