CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTA189395,391200A0CLYPI0GKDC78,"EUCARE INSURANCE PCC LIMITED","8,ELMO HOUSE  TRIQ ALFRED CRAIG, XBX 1, TA  XBIEX",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTA187619,213800Z5OLY4GC8CSV65,"FIRST EUROPEAN TITLE INSURANCE COMPANY LIMITED","SIGNATURE PORTOMASO BUSINESS CENTRE VJAL PORTOMASO, STJ 4, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MTA179929,213800MSUL116VLGKZ71,"FORTEGRA EUROPE INSURANCE COMPANY P.L.C.","THE STRAND FAWWARA BUILDING,OFFICE 13 SOHO OFFICE,TRIQ L- IMSIDA, GZR 1, GZIRA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
MTICFMCG,213800NHTBC7UKHBBA07,"Fresenius Medical Care Global Insurance LTD","ARAGON HOUSE BUSINESS CENTRE  DRAGONARA ROAD, STJ 3, SAN GILJAN",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
MTICGMI,213800VJ1PLDKYT8Z152,"GasanMamo Insurance Limited","Head Office, Msida Road, GZR 1, Gzira",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
MTICHDM,213800KR746T1ZL3QD62,"Highdome PCC Limited","Alfred Craig Street, XBX 1, Ta' Xbiex",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MTICHILL,213800HREUPGI2H9QI50,"Hillwood Limited","230/231 THE ADELAIDE TOWER ROAD, SLM 1, SLIEMA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTICHSBC,213800PHEXBQ72MHLW71,"HSBC Life Assurance (Malta) Limited","80, Mill Street, QRM 3, Qormi",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
MTA201770,213800O8W1CQOCQCU958,"HSF HEALTH PLAN (MALTA) LIMITED","AVENUE 77 LEVEL 2 OFFICE 237 HSF HEALTH PLAN MT HEAD OFFIC, CBD 3, BIRKIRKARA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
MTICIDA,213800ACYSLJ63BM7N69,"IDA INSURANCE LIMITED","OFFICE 402 113 KAPPARA BUSINESS CENTRE  TRIQ BIRKIRKARA, SGN 4, SAN GWANN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
