CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000036089215,529900R7CSE082VKF992,"Allianz Pensionskasse Aktiengesellschaft",,"Wiedner Gürtel, 9-13, 1100, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000015358201,549300CZNFVL3B0P1C69,"APK Pensionskasse AG",,"Thomas-Klestil-Platz, 13, 1030, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000035184694,529900VL0YCEX2SKSM71,"BONUS Pensionskassen Aktiengesellschaft",,"Traungasse, 14-16, 1030, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AT0000045021167,529900RY9NRFZ6PBR178,"Bundespensionskasse AG",,"Schenkenstraße, 4/4.Stk., 1010, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AT0000065863175,5299007GWO4F5BH8AO43,"Sozialversicherungspensionskasse AG",,"Kundmanngasse, 21, 1030, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AT0000014045049,529900VQM2HTVIKVVL16,"Valida Pension AG",,"Mooslackengasse, 12, 1190, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AT0000015018607,529900IPG91YD1U7SK29,"VBV-Pensionskasse Aktiengesellschaft",,"Obere Donaustraße, 49-53, 1020, Wien",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
