"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"EUROPEAN INSURANCE SOLUTION PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 62414";"213800LD98RC6499PB21";"EUROPEAN INSURANCE SOLUTION PCC LIMITED";"Domestic undertaking";"MT";"";"14/11/2013 00:00:00";"22/05/2024 00:00:00";"4TH FLOOR, DEVELOPMENT HOUSE,";"ST. ANNE STREET,";"FRN9010";"FLORIANA";"";"http://www.eis-pcc.com/";"14/11/2013 00:00:00";"22/05/2024 00:00:00";
"ELMO INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 3500";"213800PTT2RWKYU5LV82";"ELMO INSURANCE LIMITED";"Domestic undertaking";"MT";"";"29/04/2004 00:00:00";"";"Abate Rigord Street";"";"XBX 1111";"Ta Xbiex";"";"";"29/04/2004 00:00:00";"";
"CITADEL INSURANCE P.L.C.";"Malta Financial Services Authority (MFSA)";"MT";"C 21550";"5299005JR2DPHSDP1371";"CITADEL INSURANCE P.L.C.";"Domestic undertaking";"MT";"";"22/08/1997 00:00:00";"";"26, Market Street,";"Casa Borgo, ";"FRN 1082";"Floriana";"";"";"22/08/1997 00:00:00";"";
"BAVARIA REINSURANCE MALTA LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37534";"213800VP6B1WEHBDQP63";"BAVARIA REINSURANCE MALTA LIMITED";"Domestic undertaking";"MT";"";"14/12/2005 00:00:00";"";"St. Anne Street,";"5th Floor, Development House,";"FRN 9010";"Floriana";"";"";"14/12/2005 00:00:00";"";
"CAFINA ASSURANCES LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 50718";"213800NR2H6HYASL4F61";"CAFINA ASSURANCES LIMITED";"Domestic undertaking";"MT";"";"15/10/2010 00:00:00";"";"Alfred Craig Street, ";"";"XBX 1111";"Ta Xbiex";"";"";"15/10/2010 00:00:00";"";
"BASTION INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37545";"213800FB2YPNPQKFSI47";"BASTION INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"15/12/2005 00:00:00";"";"St. Anne Street,";"4th Floor, Development House, ";"FRN 9010";"Floriana";"";"";"15/12/2005 00:00:00";"";
"ALC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 58360";"";"ALC LIMITED";"Domestic undertaking";"MT";"";"27/11/2012 00:00:00";"31/07/2015 00:00:00";"ACHILLE FERRIS STREET";"REALCO BUILDINGS,";"MSD 1751";"MSIDA";"";"";"27/11/2012 00:00:00";"31/07/2015 00:00:00";
"BLUEBIRD REINSURANCE (EUROPE) LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 50960";"";"BLUEBIRD REINSURANCE (EUROPE) LTD";"Domestic undertaking";"MT";"";"22/10/2010 00:00:00";"01/01/2015 00:00:00";"Strand Towers,";" Floor 1, 36, The Strand,";"SLM 1022";"Sliema";"";"";"22/10/2010 00:00:00";"01/01/2015 00:00:00";
"FNF TITLE INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 55253";"63540095PWEPVLD4QR40";"FNF TITLE INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"09/02/2012 00:00:00";"30/12/2015 00:00:00";"St. Anne Street,";"Development House, ";"FRN 9010";"Floriana";"";"";"09/02/2012 00:00:00";"31/12/2015 00:00:00";
"GENGHIS INSURANCE PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 55194";"63540083ZOKLP2751M02";"GENGHIS INSURANCE PCC LIMITED";"Domestic undertaking";"MT";"";"09/02/2012 00:00:00";"30/09/2019 00:00:00";"St. Anne Street,";"Development House, ";"FRN 9010";"Floriana";"";"";"09/02/2012 00:00:00";"30/09/2019 00:00:00";
"AXERIA LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 43228";"529900NKJS9RRJ1DL451";"AXERIA LIMITED";"Domestic undertaking";"MT";"";"31/12/2007 00:00:00";"16/01/2021 00:00:00";"230, 230 Works Business Centre, Second Floor, Eucharistic Congress Road, ";"";"MST 9039";"Mosta";"MALTA";"N/A";"31/12/2007 00:00:00";"16/01/2021 00:00:00";
"CAVERSHAM INSURANCE (MALTA) LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37038";"63540063MT61OOZCNT55";"CAVERSHAM INSURANCE (MALTA) LIMITED";"Domestic undertaking";"MT";"";"24/01/2006 00:00:00";"16/04/2019 00:00:00";"DEVELOPMENT HOUSE, ST. ANNE STREET";"";"FRN 9010";"Floriana ";"MALTA ";"";"24/01/2006 00:00:00";"16/04/2019 00:00:00";
"RIVERSTONE INSURANCE (MALTA) SE";"Malta Financial Services Authority (MFSA)";"MT";"SE 2";"213800NZ2O2O9B1KZ788";"RIVERSTONE INSURANCE (MALTA) SE";"Domestic undertaking";"MT";"";"12/12/2011 00:00:00";"";"ARAGON HOUSE BUSINESS CENTRE, LEVEL 1,";"DRAGONARA ROAD,";"STJ 3140";"ST. JULIANS";"";"";"12/12/2011 00:00:00";"";
"ATLAS INSURANCE PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 5601";"529900F52D5B51ONO136";"ATLAS INSURANCE PCC LIMITED";"Domestic undertaking";"MT";"";"29/04/2004 00:00:00";"";"48-50,";"TA XBIEX SEAFRONT,";"XBX 1021";"TA XBIEX";"MALTA ";"";"29/04/2004 00:00:00";"";
"Ergon Insurance Limited";"Malta Financial Services Authority (MFSA)";"MT";"C 36548";"213800B4ZY949VJYD671";"Ergon Insurance Limited";"Domestic undertaking";"MT";"";"01/07/2005 00:00:00";"";"MAYFAIR BUSINESS CENTRE, ST. GEORGES BAY, ";"";"STJ 3311";"St Julians ";"Malta";"N/A";"01/07/2005 00:00:00";"";
"ARNOLD CLARK (MALTA) LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 40522";"213800KL7RVEKAJHQO02";"ARNOLD CLARK (MALTA) LIMITED";"Domestic undertaking";"MT";"";"20/06/2007 00:00:00";"21/03/2019 00:00:00";"THE LANDMARK, LEVEL 1, SUITE 2, TRIQ L-ILJUN";"";"QRM 3800";"Qormi";"Ma";"";"20/06/2007 00:00:00";"21/03/2019 00:00:00";
"LIBERTY GLOBAL INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 64778";"635400GFKTPA7J4VII02";"LIBERTY GLOBAL INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"09/05/2014 00:00:00";"";"DEVELOPMENT HOUSE, ST. ANNE STREET";"";"FRN 9010";"Floriana ";"MALTA ";"";"09/05/2014 00:00:00";"";
"HIGHDOME PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 54503";"213800KR746T1ZL3QD62";"HIGHDOME PCC LIMITED";"Domestic undertaking";"MT";"";"23/11/2011 00:00:00";"";"ALFRED CRAIG STREET";"";"XBX 1111";"TA XBIEX";"MALTA";"www.highdomepcc.com";"23/11/2011 00:00:00";"";
"IDA INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 36602";"213800ACYSLJ63BM7N69";"IDA INSURANCE LIMITED";"Domestic undertaking";"MT";"";"24/10/2007 00:00:00";"";"Sir Ugo Mifsud Street,";"DAN Building,";"XBX 1431";"Ta Xbiex";"";"";"24/10/2007 00:00:00";"";
"MULTI RISK BENEFITS LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 38253";"213800DCXFKZRY8VQ913";"MULTI RISK BENEFITS LIMITED";"Domestic undertaking";"MT";"";"30/11/2010 00:00:00";"22/07/2016 00:00:00";"Malta International Airport";"Level 5, Skyparks Business Centre";"LQA 4000";"Luqa";"";"";"30/03/2006 00:00:00";"22/07/2016 00:00:00";
"MAPFRE MIDDLESEA P.L.C.";"Malta Financial Services Authority (MFSA)";"MT";"C 5553";"213800KY94NQYH4IZU83";"MAPFRE MIDDLESEA P.L.C.";"Domestic undertaking";"MT";"";"24/01/2000 00:00:00";"";"St. Publius Street,";"Middlesea House ";"FRN 1442";"Floriana";"";"";"24/01/2000 00:00:00";"";
"STEADFAST INSURANCE PARTNERS LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 55905";"52990012IJKCX12DMK07";"STEADFAST INSURANCE PARTNERS LIMITED";"Domestic undertaking";"MT";"";"24/05/2012 00:00:00";"";"LEVEL 3, GASAN CENTRE,";"TRIQ IL- MERGHAT,ZONE 1, CENTRAL BUSINESS DISTRICT";"CBD 1020";"BIRKIRKARA";"";"";"24/05/2012 00:00:00";"";
"AAK INSURANCE MALTA LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 51071";"213800LXNGNQ5O1XBW47";"AAK INSURANCE MALTA LIMITED";"Domestic undertaking";"MT";"";"05/11/2010 00:00:00";"";"179 Marina Street, ";"No. 7, 4th Floor, Block C, Skyway Offices, ";"PTA 9042";"Pieta";"";"";"05/11/2010 00:00:00";"";
"BRAY INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 43771";"6354002RHRQ71LW77796";"BRAY INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"18/03/2008 00:00:00";"12/06/2019 00:00:00";"St. Anne Street,";"Development House, ";"FRN 9010";"Floriana";"";"";"18/03/2008 00:00:00";"12/06/2019 00:00:00";
"BUILDING BLOCK INSURANCE PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 63128";"213800FPSO3IC68YB568";"BUILDING BLOCK INSURANCE PCC LIMITED";"Domestic undertaking";"MT";"";"20/12/2013 00:00:00";"";"Princess Elizabeth Street,";"1";"XBX 1101";"Ta Xbiex";"";"";"20/12/2013 00:00:00";"";
"GASANMAMO INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 3143";"213800VJ1PLDKYT8Z152";"GASANMAMO INSURANCE LIMITED";"Domestic undertaking";"MT";"";"11/04/2003 00:00:00";"";"Msida Road,";"";"GZR 1405";"Gzira";"";"";"11/04/2003 00:00:00";"";
"HSBC LIFE ASSURANCE (MALTA) LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 18814";"213800PHEXBQ72MHLW71";"HSBC LIFE ASSURANCE (MALTA) LTD";"Domestic undertaking";"MT";"";"26/01/1996 00:00:00";"";"Mill Street,";"80, ";"QRM 3101";"Qormi";"";"";"26/01/1996 00:00:00";"";
"LIFESTAR INSURANCE P.L.C.";"Malta Financial Services Authority (MFSA)";"MT";"C 29086";"213800RJG2OCEN9KIW48";"LIFESTAR INSURANCE P.L.C.";"Domestic undertaking";"MT";"LifeStar Insurance P.L.C.";"15/01/2003 00:00:00";"";"TESTAFERRATA STREET";"";"XBX 1403";"TA XBIEX";"Malta";"www.lifestarinsurance.com";"09/08/2024 00:00:00";"";
"FALCON INSURANCE LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 37536";"2138004BGCELZIEAJQ63";"FALCON INSURANCE LTD";"Domestic undertaking";"MT";"";"14/12/2005 00:00:00";"31/12/2015 00:00:00";"179 Marina Street, ";"No. 7, 4th Floor, Block C, Skyway Offices, ";"PTA 9042";"Pieta";"";"";"14/12/2005 00:00:00";"31/12/2015 00:00:00";
"LIME STREET INSURANCE PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 50711";"635400LEQ5RTOPISAN21";"LIME STREET INSURANCE PCC LIMITED";"Domestic undertaking";"MT";"";"13/09/2021 00:00:00";"";"DEVELOPMENT HOUSE, ST. ANNE STREET, ";"";"FRN9010";"FLORIANA";"MALTA";"";"13/09/2021 00:00:00";"";
"PALATINA INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 44585";"213800L5R8LLD4MAQR28";"PALATINA INSURANCE LIMITED";"Domestic undertaking";"MT";"";"27/06/2008 00:00:00";"05/12/2018 00:00:00";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"27/06/2008 00:00:00";"05/12/2018 00:00:00";
"ONEY INSURANCE (PCC) LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 53202";"635400TFFGSK8QJCJT66";"ONEY INSURANCE (PCC) LIMITED";"Domestic undertaking";"MT";"";"23/06/2011 00:00:00";"";"Block B - App 44,";"Il-Piazetta, Tower Road,";"SLM1605";"Sliema";"";"";"23/06/2011 00:00:00";"";
"ONEY LIFE (PCC) LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 53199";"635400KHTKO18JBXGS29";"ONEY LIFE (PCC) LIMITED";"Domestic undertaking";"MT";"";"23/06/2011 00:00:00";"";"Block B - App 44,";"Il-Piazetta, Tower Road,";"SLM1605";"Sliema";"";"";"23/06/2011 00:00:00";"";
"ORLEN INSURANCE LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 39972";"2138004MIQSBV57KMH97";"ORLEN INSURANCE LTD";"Domestic undertaking";"MT";"";"27/11/2006 00:00:00";"";"THE HEDGE BUSINESS CENTRE, LEVEL 3, TRIQ IR-RAMPA TA SAN GILJAN, BALLUTA BAY";"";"STJ 1062";"ST. JULIANS";"MALTA";"";"27/11/2006 00:00:00";"";
"PRACTICE PLAN INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 39807";"213800AFTJBKQUSZTH45";"PRACTICE PLAN INSURANCE LIMITED";"Domestic undertaking";"MT";"";"27/10/2006 00:00:00";"05/02/2019 00:00:00";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"27/10/2006 00:00:00";"05/02/2019 00:00:00";
"NISSAN INTERNATIONAL INSURANCE LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 44660";"213800MJ2V3XCIZ8DE80";"NISSAN INTERNATIONAL INSURANCE LTD";"Domestic undertaking";"MT";"";"05/08/2008 00:00:00";"";"Dragonara Road,";"Aragon House, Business Centre,";"STJ 3140";"St. Julians";"";"";"05/08/2008 00:00:00";"";
"VODAFONE INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37030";"213800IKMAZTEEFEMF91";"VODAFONE INSURANCE LIMITED";"Domestic undertaking";"MT";"";"16/11/2005 00:00:00";"";"Portomaso Tower";"Level 15B, ";"STJ 4011";"St.Julians";"";"";"16/11/2005 00:00:00";"";
"NAUTILUS INDEMNITY (EUROPE) LIMITED ";"Malta Financial Services Authority (MFSA)";"MT";"C 36268";"213800M9YBOCFMZGEH27";"NAUTILUS INDEMNITY (EUROPE) LIMITED ";"Domestic undertaking";"MT";"";"25/05/2005 00:00:00";"17/12/2015 00:00:00";"The Strand, ";"36, The Strand Towers, First Floor, ";"SLM 1022";"Sliema";"";"";"25/05/2005 00:00:00";"17/12/2015 00:00:00";
"MUNICH RE OF MALTA P.L.C.";"Malta Financial Services Authority (MFSA)";"MT";"C 45422";"5299004V4S625766IJ96";"MUNICH RE OF MALTA P.L.C.";"Domestic undertaking";"MT";"";"27/10/2008 00:00:00";"";"Ta Xbiex Seafront";"Level 4, Whitehall Mansions,";"XBX 1026";"Ta Xbiex";"";"";"27/10/2008 00:00:00";"";
"RCI INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 45786";"213800LA7O6B8TE5FS89";"RCI INSURANCE LIMITED";"Domestic undertaking";"MT";"";"10/12/2008 00:00:00";"";"LEVEL 3, MERCURY TOWER,";"THE EXCHANGE FINANCIAL & BUSINESS CENTRE, TRIQ ELIA ZAMMIT,";"STJ 3155";"ST. JULIANS";"";"http://rci-insurance.eu";"10/12/2008 00:00:00";"";
"ACCREDITED INSURANCE (EUROPE) LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 59505";"635400CIPL7LGNBQ4U90";"ACCREDITED INSURANCE (EUROPE) LIMITED";"Domestic undertaking";"MT";"";"12/06/2013 00:00:00";"";"3rd FLOOR,";"DEVELOPMENT HOUSE, ST ANNE STREET,";"FRN9010";"FLORIANA";"MALTA";"";"12/06/2013 00:00:00";"";
"REED (St.John) Ltd";"Malta Financial Services Authority (MFSA)";"MT";"C 38345";"213800PS6TTBARC2KH32";"REED Insurance Ltd";"Domestic undertaking";"MT";"";"07/07/2006 00:00:00";"30/09/2020 00:00:00";" Ta Xbiex Marina,";"The Reed Centre, Blue Harbour,";"XBX 1027";"Ta Xbiex";"";"";"07/07/2006 00:00:00";"30/09/2020 00:00:00";
"STELLANTIS LIFE INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 44568";"5493005T69ZY7UOEFM81";"STELLANTIS LIFE INSURANCE LIMITED";"Domestic undertaking";"MT";"";"27/06/2008 00:00:00";"";"MIB HOUSE, 53, ABATE RIGORD STREET,";"";"XBX 1122";"TA XBIEX ";"Malta";"";"27/06/2008 00:00:00";"";
"SN SECURECORP INSURANCE MALTA LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 52412";"21380021TUD1LKA24126";"SN SECURECORP INSURANCE MALTA LIMITED";"Domestic undertaking";"MT";"";"01/04/2011 00:00:00";"";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"01/04/2011 00:00:00";"";
"TAURUS INSURANCE LIMITED ";"Malta Financial Services Authority (MFSA)";"MT";"C 43335";"2138002J1C6IZW7JCT21";"TAURUS INSURANCE LIMITED";"Domestic undertaking";"MT";"";"15/01/2008 00:00:00";"17/12/2015 00:00:00";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"15/01/2008 00:00:00";"17/12/2015 00:00:00";
"ADVENT INSURANCE PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 52394";"213800OBCH1GM1HZRQ55";"ADVENT INSURANCE PCC LIMITED";"Domestic undertaking";"MT";"";"29/03/2011 00:00:00";"";"THE LANDMARK, LEVEL 1, SUITE 2, TRIQ L-ILJUN,";"";"QRM3800";"Qormi";"MALTA ";"";"29/03/2011 00:00:00";"";
"MAPFRE MSV LIFE P.L.C.";"Malta Financial Services Authority (MFSA)";"MT";"C 15722";"213800WBOT78MFOD8M71";"MAPFRE MSV LIFE P.L.C.";"Domestic undertaking";"MT";"";"21/01/2000 00:00:00";"";"Mall Street,";"The Mall";"FRN 1470";"Floriana";"";"";"02/09/1994 00:00:00";"";
"PLATINUM INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 45521";"213800DIGNWXXNZR2797";"PLATINUM INSURANCE LIMITED";"Domestic undertaking";"MT";"";"22/06/2009 00:00:00";"28/02/2020 00:00:00";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"22/06/2009 00:00:00";"28/02/2020 00:00:00";
"STELLANTIS INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 44567";"549300LGC76FXZ1D4683";"STELLANTIS INSURANCE LIMITED";"Domestic undertaking";"MT";"";"24/04/2015 00:00:00";"";"MIB HOUSE,";"53, ABATE RIGORD STREET";"N/A";"TA XBIEX";"MALTA";"";"24/04/2015 00:00:00";"";
"PROPGEN INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37777";"213800GAENEW3S4SOU13";"PROPGEN INSURANCE LIMITED";"Domestic undertaking";"MT";"";"10/01/2006 00:00:00";"30/03/2020 00:00:00";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"10/01/2006 00:00:00";"30/03/2020 00:00:00";
"RHENAS INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 36584";"213800P414GNZFSGKZ87";"RHENAS INSURANCE LIMITED";"Domestic undertaking";"MT";"";"20/11/2009 00:00:00";"20/11/2025 00:00:00";"THE HEDGE BUSINESS CENTRE - LEVEL 3, TRIQ IR-RAMPA TA SAN GILJAN, BALLUTA BAY,";"";"STJ 1062";"SAN GILJAN";"MALTA";"";"20/11/2009 00:00:00";"20/11/2025 00:00:00";
"WERLA INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 54906";"2138004JS6KG67BFOW08";"WERLA INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"02/01/2012 00:00:00";"";"Alfred Craig Street, ";"";"XBX 1111";"Ta Xbiex";"";"";"02/01/2012 00:00:00";"";
"ONE INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 48993";"213800KDX1TO2ITXBN68";"ONE INSURANCE LIMITED";"Domestic undertaking";"MT";"";"13/09/2010 00:00:00";"28/06/2023 00:00:00";"THE HEDGE BUSINESS CENTRE - LEVEL 3,";"TRIQ IR-RAMPA TA SAN GILJAN, BALLUTA BAY,";"STJ 1062";"ST. JULIANS";"";"";"13/09/2010 00:00:00";"28/06/2023 00:00:00";
"RCI Life Limited";"Malta Financial Services Authority (MFSA)";"MT";"C 45787";"213800SS9S6T3KG32E27";"RCI Life Limited";"Domestic undertaking";"MT";"";"10/12/2008 00:00:00";"";"LEVEL 3, MERCURY TOWER,";"THE EXCHANGE FINANCIAL & BUSINESS CENTRE, TRIQ ELIA ZAMMIT,";"STJ 3155";"ST. JULIANS";"";"";"10/12/2008 00:00:00";"";
"ST JULIANS INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 50869";"213800338OS3HDO2N627";"ST JULIANS INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"22/10/2010 00:00:00";"22/12/2017 00:00:00";"St. Anne Street,";"4th Floor, Development House, ";"FRN 9010";"Floriana";"";"";"22/10/2010 00:00:00";"22/12/2017 00:00:00";
"CRH GROUP INSURANCE SERVICES EUROPE LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 46133";"213800ERL68YLAQYM160";"CRH GROUP INSURANCE SERVICES EUROPE LTD";"Domestic undertaking";"MT";"";"30/01/2009 00:00:00";"";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"30/01/2009 00:00:00";"";
"WHITE ROCK INSURANCE (EUROPE) PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 45413";"213800QWL4SCYLFFAE38";"WHITE ROCK INSURANCE (EUROPE) PCC LIMITED";"Domestic undertaking";"MT";"";"24/10/2008 00:00:00";"";"Avenue 77, Block A and Block B, Level 3";"Triq in-Negozju, Zone 3, Central Business District";"CBD 3010";"Birkirkara";"MALTA";"";"24/10/2008 00:00:00";"";
"WHITE ROCK INSURANCE (NETHERLANDS) PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 63569";"213800R3LMO27B55P466";"WHITE ROCK INSURANCE (NETHERLANDS) PCC LIMITED";"Domestic undertaking";"MT";"";"21/01/2014 00:00:00";"";"Avenue 77, Block A and Block B, Level 3";"Triq in-Negozju, Zone 3, Central Business District";"CBD 3010";"Birkirkara";"MALTA";"";"21/01/2014 00:00:00";"";
"TRINITY LANE INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 40137";"21380095KHCOOUSUJQ96";"TRINITY LANE INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"17/04/2007 00:00:00";"01/07/2020 00:00:00";"Triq l-Iljun, ";"The LandMark, Level 1/Suite 2, ";"QRM 3800";"Qormi";"";"";"17/04/2007 00:00:00";"01/07/2020 00:00:00";
"QIC EUROPE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 67694";"21380051H5GOSE67HD32";"QIC EUROPE LIMITED";"Domestic undertaking";"MT";"";"21/11/2014 00:00:00";"";"Triq ir-Rampa ta San Giljan, Balluta Bay,";"The Hedge Business Centre - Level 3,";"STJ 1062";"St. Julians";"";"";"21/11/2014 00:00:00";"";
"European Travel Insurance Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"12185960";"529900MLIDA51W4RTR25";"EURÓPAI UTAZÁSI Biztosító Zártkörűen Működő Részvénytársaság";"Domestic undertaking";"HU";"EURÓPAI UTAZÁSI Biztosító Zrt.";"17/09/1996 00:00:00";"";"Váci út";"36-38";"1132";"Budapest";"";"www.eub.hu";"17/09/1996 00:00:00";"";
"MetLife Insurance Company ";"Magyar Nemzeti Bank (MNB)";"HU";"12175239";"";"MetLife Biztosító Zrt.";"Domestic undertaking";"HU";"";"09/09/1996 00:00:00";"01/11/2015 00:00:00";"Népfürdő utca";"22";"1138";"Budapest";"";"www.metlife.hu";"09/09/1996 00:00:00";"01/11/2015 00:00:00";
"Groupama Garancia Insurance Private Company Limited ";"Magyar Nemzeti Bank (MNB)";"HU";"10207349";"5299005OWMBTSNKNP092";"Groupama Biztosító Zártkörűen Működő Rt.";"Domestic undertaking";"HU";"";"07/01/1988 00:00:00";"";"Erzsébet királyné útja";"1/C";"1146";"Budapest";"";"www.groupama.hu";"07/01/1988 00:00:00";"";
"SIGNAL Versicherung Geschlossene Aktiengesellschaft ";"Magyar Nemzeti Bank (MNB)";"HU";"10828704";"529900J6X2TY517BIE79";"SIGNAL IDUNA Biztosító Zártkörűen Működő Részvénytársaság";"Domestic undertaking";"HU";"";"29/03/1993 00:00:00";"";"Alkotás utca";"50";"1123";"Budapest";"";"www.signal.hu";"29/03/1993 00:00:00";"";
"K&H Insurance Close Company Limited by Shares ";"Magyar Nemzeti Bank (MNB)";"HU";"10765920";"5299006HFUU7PH3GBJ77";"K&H Biztosító Zártkörűen Működő Részvénytársaság";"Domestic undertaking";"HU";"";"23/08/2003 00:00:00";"";"Lechner Ödön fasor";"9";"1095";"Budapest";"";"www.kh.hu";"23/08/2003 00:00:00";"";
"BNP Paribas Cardif Insurance Hungary Private Company Limited by Shares";"Magyar Nemzeti Bank (MNB)";"HU";"12774395";"2138007VDGVZLDMBWJ04";"BNP Paribas Cardif Biztosító Magyarország Zártkörűen Működő Részvénytársaság";"Domestic undertaking";"HU";"BNP Paribas Cardif Biztosító Zrt.";"05/09/2002 00:00:00";"";"Teréz körút";"55-57";"1062";"Budapest";"";"http://bnpparibascardif.hu";"05/09/2002 00:00:00";"";
"Gránit Insurance Ltd";"Magyar Nemzeti Bank (MNB)";"HU";"14489765";"529900GLMXZQ4C3L7H52";"Gránit Biztosító Zártkörűen Működő Részvénytársaság";"Domestic undertaking";"HU";"Gránit Biztosító Zrt.";"09/09/2008 00:00:00";"";"Szállító utca";"4";"1211";"Budapest";"";"www.granitbiztosito.hu";"09/09/2008 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"Domestic undertaking";"HU";"";"14/10/2003 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"http://www.unionbiztosito.hu";"14/10/2003 00:00:00";"";
"UNIQA geschlossene Versicherungs Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10456017";"549300RLBB7L1SYSG775";"UNIQA Biztosító Zártkörűen Működő Részvénytársaság";"Domestic undertaking";"HU";"UNIQA Biztosító Zrt.";"31/07/2003 00:00:00";"";"Róbert Károly körút";"70-74";"1134";"Budapest";"";"http://www.uniqa.hu";"31/07/2003 00:00:00";"";
