"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"LV";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"HR";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"MT";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"LV";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"RO";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"NL";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"NO";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"SE";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"PT";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"PT";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
